"HOX424 Carbo Day1","HOX424 Carbo Day2","HOX424 Carbo Day4","HOX424 Carbo Day7","HOX424 Carbo Day14","Molecule","HOX424 Carbo Day1 adj.p.val","HOX424 Carbo Day2 adj.p.val","HOX424 Carbo Day4 adj.p.val","HOX424 Carbo Day7 adj.p.val","HOX424 Carbo Day14 adj.p.val"
5.840729732875,5.70350616275,5.83967315833333,5.807257438,5.8489326025,"AKT1",0.00152400572683072,5.40661531504372e-09,7.36751658897064e-07,0.050556826111571,0.049575475817068
8.985333039625,8.9965604655,8.93096852733334,9.13850373225,9.16890025225,"AKT1",0.000111098330771064,9.24258867733772e-11,5.36668700606674e-08,0.0076515927994002,0.00616755284989865
9.313060921125,9.04974159925,9.19612894366667,9.2113256595,9.2346831585,"AKT1",0.000106119905241866,5.00017287310018e-11,5.01536243277052e-08,0.0076515927994002,0.00616755284989865
6.083198238,6.05058542175,5.85341560666667,5.998554494,6.0458329935,"BRCA1",0.00115605669953438,1.45353463720064e-10,7.05307575882046e-08,0.0454299196811181,0.0435608015562794
7.287786605875,7.442015496,7.29018888766667,6.9748179755,7.42853255075,"BRCA1",0.000353814449376895,5.67217520502067e-11,1.18909895036363e-07,0.0280382758398388,0.0188662941597184
5.963702116375,5.94341683975,5.98326470266667,5.97794641575,6.083045352,"BRCA1",0.00138563878136635,2.56865801739113e-09,1.19263605679245e-07,0.0454299196811181,0.0433289497449208
6.76444731425,6.9002631775,6.990377843,6.7137659575,6.90948886325,"BRCA1",0.000571489477918177,6.95956528020378e-11,7.47835455108932e-07,0.0309972213141851,0.0274491344267221
8.254913219875,8.2434543515,8.26384838766667,8.16875566475,8.37562807125,"CCNB1",0.000154829802715026,1.8911943730022e-10,6.04693162509023e-07,0.0113695626373047,0.00938684896940722
10.941398235,10.914353265,11.1565788466667,11.17851725,10.793203115,"CCND1",6.35829589053954e-05,3.97363510033272e-11,1.42501639149459e-07,0.00125063692691199,0.00203316442244399
10.519036105,10.67641168,10.6185438833333,10.809648715,10.5407001075,"CDH1",6.88760845968172e-05,3.97363510033272e-11,5.36668700606674e-08,0.00169363892938253,0.00203316442244399
6.52069431225,6.481257231,6.184917783,6.485143742,6.69617194775,"CDK2",0.000753221242808309,5.09916113658734e-10,3.28715363560596e-07,0.0336861705458461,0.0291313053591785
8.734574550375,8.47372644825,8.499733052,8.70761263975,8.82577184775,"CDK2",0.000120981159628995,4.56011366174926e-10,1.31922100638353e-07,0.00856592678781415,0.0069323612476677
7.800900001875,7.93046768825,7.55004938533333,7.5634350905,7.78794004875,"CDKN1B",0.000220035759655895,4.49511386977006e-11,7.24007067775842e-08,0.0177325956943102,0.0144360794351652
8.65155147975,8.43302033825,8.286769635,8.37291937925,8.587937866,"CDKN1B",0.000111098330771064,1.45353463720064e-10,7.4006237460319e-08,0.0105555093052997,0.00773043606157928
10.4376783335,10.6794179475,10.55782514,10.62763939,10.622845665,"CLDN7",6.88760845968172e-05,3.35155409015735e-10,1.6712145367905e-07,0.0018201522077747,0.00203316442244399
6.543826350375,6.50945324275,6.64613002533333,6.3420033275,6.68835262375,"CTNNB1",0.00063829375953492,2.43737791102047e-09,1.00155116404628e-07,0.0375309803168543,0.0291313053591785
5.452721856125,5.389740309,5.380567432,5.4085803015,5.500802847,"CTNNB1",0.00202159545746897,7.39876413739265e-10,2.47865105803896e-07,0.0558407713011178,0.0524506647899804
8.24172958625,8.17033084125,8.313806279,8.32323337375,8.2993876285,"CTNNB1",0.00017573092811123,1.67714711589598e-10,1.18909895036363e-07,0.0105555093052997,0.00975176897960401
7.989417456125,8.04386527375,8.19722754,8.1840334415,8.0319087975,"CTNNB1",0.000220035759655895,1.29998703869235e-10,6.88347931431322e-08,0.0113695626373047,0.0120179975474959
5.810794057,5.93520407625,5.88687299533333,5.76574701675,5.79200796975,"CTNNB1",0.00154065767709913,1.1159894128324e-09,9.01569177640956e-08,0.0513442703430327,0.0500356936720148
5.588641072875,5.5610294925,5.61646938,5.59751075375,5.5462241715,"CTNNB1",0.00168346012388152,1.45353463720064e-10,1.78359928112799e-07,0.0517163354215075,0.0513488215602367
5.66941723425,5.53549085825,5.45276774333333,5.573897345,5.590061709,"CTNNB1",0.00164788075609588,4.00393283344502e-10,1.44657620184842e-07,0.0517163354215075,0.051162241643605
6.07864835475,6.1644882445,5.97979616833333,6.01420783525,6.07652404325,"EGFR",0.00115605669953438,3.20478745316621e-10,7.05307575882046e-08,0.0454299196811181,0.0433289497449208
5.321044776125,5.39082647625,5.42725051766667,5.34082636,5.34942585375,"EGFR",0.00240321252155991,2.94207160758787e-10,1.19263605679245e-07,0.0580713119211515,0.0566045397468435
5.39293172625,5.49791268775,5.381282521,5.4197805345,5.3874851595,"EGFR",0.00214424730952041,9.24258867733772e-11,8.54478750816532e-07,0.0558407713011178,0.0557478590806095
6.84635756525,6.80228602075,6.93332787833333,6.91725708825,6.79115758925,"EGFR",0.000564866118470826,6.98944285993616e-11,6.88347931431322e-08,0.0287183171141865,0.0291313053591785
5.623303636875,5.6706364755,5.906026969,5.56147979,5.663824476,"ERBB2",0.00168346012388152,1.26134779431273e-10,1.31922100638353e-07,0.0517163354215075,0.0508872678094736
6.18966535675,6.46518595725,6.50184239766667,6.52056862325,6.268625061,"ERBB2",0.00115605669953438,3.97823499324932e-10,2.09993487494183e-07,0.0336861705458461,0.0395370042662253
13.66837860875,13.7244048125,13.4764963666667,13.939182065,13.6585249975,"ERBB2",1.74073113312383e-05,2.29001213663829e-11,4.04699337124481e-08,6.18522834535719e-05,9.86801819379777e-05
