"OV1002 Carbo Day1","OV1002 Carbo Day2","OV1002 Carbo Day4","OV1002 Carbo Day7","OV1002 Carbo Day14","Molecule"
0.394062719,-0.226303179,0.439137361999999,-0.104739602,6.074032696,"AKT1"
-0.290185351,0.0772926599999995,0.0182067900000007,-0.228277910000001,10.0074398,"AKT1"
0.158781869999999,-0.0814915000000003,-0.076774180000001,0.00554057999999991,10.31305039,"AKT1"
0.00747321400000001,-0.0667199520000006,0.113386995,0.194090296,6.03337119,"BRCA1"
-0.190824846,0.0477299760000003,0.324576362,0.254732928999999,6.639341994,"BRCA1"
-0.327129036,-0.45766018,-0.0992777949999999,0.102751103,5.902028125,"BRCA1"
-0.402707188,-0.0669523330000006,0.411175674,0.470800182000001,6.350892119,"BRCA1"
-0.0351761980000003,-0.779863348999999,0.984245767999999,0.318325726000001,8.969916658,"CCNB1"
0.31241921,-0.462498050000001,-0.76115205,-0.88781241,10.7541108,"CCND1"
0.0961379200000003,-0.22872007,-0.108709409999999,0.0821294099999985,10.75527786,"CDH1"
-0.143027905,0.34098408,0.272441616,-0.436479959,7.223823083,"CDK2"
-0.0826245820000011,0.248549579999999,0.125261364,-0.0605334199999987,10.03379478,"CDK2"
0.333182152,0.181084509,0.3358095,0.18462588,7.585698759,"CDKN1B"
0.0420550650000004,0.451463378,0.495654423,0.525012926,7.35432261,"CDKN1B"
-0.10538118,-0.29794822,-0.369168259999999,0.0195849799999994,9.953348914,"CLDN7"
-0.152993394,0.178391133,0.101765088000001,0.124060654,5.397828964,"CTNNB1"
0.0277317729999993,-0.224012863,0.0344646300000004,0.182646052000001,5.532769721,"CTNNB1"
-0.265062178,-0.101024871,0.100156585,-0.159567178,7.727622003,"CTNNB1"
0.0181961399999997,-0.0841740150000003,0.0576747530000006,0.0558898559999994,7.471311954,"CTNNB1"
-0.17724078,0.238146914,-0.263778334,-0.0895147330000006,5.810394326,"CTNNB1"
-0.014587755,-0.257865947,0.0803295030000006,0.0157882880000004,5.511926181,"CTNNB1"
0.129495400000001,0.226616187,0.501175356,0.00917972699999936,5.566436628,"CTNNB1"
0.133080167,-0.0465350190000002,0.233242753,0.166746542,6.041416711,"EGFR"
0.0456705480000004,0.13664257,0.0263767260000005,0.486098734,5.24278214,"EGFR"
0.215746925,-0.00228184500000062,0.187361126,0.238637357,5.416225547,"EGFR"
0.215885825,0.12750107,-0.184980688,-0.0843967699999997,6.132912395,"EGFR"
-0.0983370910000003,0.117979410999999,-0.248441353,-0.0463359830000005,5.61158925,"ERBB2"
0.0623842210000003,-0.0746258270000002,-0.228128057,0.158478099000001,5.598507546,"ERBB2"
-0.0375296450000011,-0.331933968,0.114846968,0.497381469999999,9.775936363,"ERBB2"
0.164907963,0.062464437,-0.0898558029999998,-0.067005194,6.131074535,"ERBB3"
-0.102272963000001,-0.194682881,0.0534253049999993,0.247866953999999,9.299190765,"ERBB3"
-0.0371233000000002,-0.340433355,-0.0449736519999995,-0.00197938099999995,5.600281417,"ERBB3"
0.183139105,-0.603838374,0.138785886,0.149201069,5.765736711,"ERCC1"
0.442114168000001,0.193164182,-0.226031271,-0.212531112,6.243164081,"ERCC1"
0.20182174,0.215577314999999,-0.245644611000001,0.129724824,8.075786548,"ERCC1"
0.138990055000001,0.271553741,-0.057675476,0.140722622,8.115675665,"ERCC1"
0.047035812999999,0.619000759,-0.0912660929999998,0.709388856999999,9.691403349,"ESR1"
0.0592605120000007,-0.543992374999999,0.0936340599999994,-0.421141409000001,6.413772077,"HIF1A"
0.229783316,-0.469247465,0.263954171,-0.851835617,6.86601483,"HIF1A"
-0.154510208,-0.974421589,0.862133754,-0.239564552,7.714420828,"HIF1A"
1.312925689,-0.16480731,-1.10039117,-1.380456697,9.717763252,"IGFBP3"
1.32311008,-0.229718128,-1.474301333,-1.4160342,8.869395837,"IGFBP3"
-0.111655441,-0.201542678,-0.17238786,0.232200392,5.671489119,"MAPK1"
-0.0888309709999993,-0.494938304,-0.106366619,-0.143274116,6.126265898,"MAPK1"
-0.2019797,-0.0243073469999997,0.00798933399999946,0.180480976,6.391682003,"MAPK1"
0.247974803,-0.651082603,0.121481029,-0.198099657,7.697970693,"MET"
0.0105553270000005,0.162789939,0.353460817,-0.0773939060000002,7.556493929,"MLH1"
-0.0208215090000001,-0.0362870439999998,0.12911552,-0.0982853229999998,6.293630494,"MSH2"
-0.367526389,0.0559286319999996,0.233702074,-0.212363779,5.732267966,"MSH2"
-0.179572867999999,0.423162212000001,-0.0958233840000009,0.443271979,9.818945821,"MSH6"
0.0329553869999994,1.096727115,-0.779469563000001,0.0298028349999999,10.14902714,"MYC"
-0.122469953,0.396544597,-0.720393237000001,0.439038854000001,8.526829226,"MYC"
0.028878946999999,-0.186559169999999,0.407713881000001,-0.0989450380000001,8.518458175,"NCOA3"
-0.313716059000001,-0.168906346,0.148306022,-0.113926157000001,5.898157044,"NCOA3"
0.127816571,0.0148912109999992,-0.61007203,0.0374229599999998,5.367284286,"PGR"
0.051252989,-0.202825613,0.0577800089999991,-0.0608301739999995,5.711668118,"PMS2"
-0.046386891,0.129802978,-0.0766513919999996,0.0907062090000004,7.384602308,"PMS2"
0.0904181360000003,0.108789205,-0.244347098,0.295704543,5.306180146,"PMS2"
0.172457929,0.185407788,-0.269967219000001,0.328451677,7.546420683,"PTEN"
0.10486897,0.00695509999999899,-0.110580969999999,0.1265535,12.89047467,"RPS6"
-0.1398238,0.11777081,-0.0789362400000009,0.39584599,12.09651748,"RPS6"
