"OV1002 CarboTax Day1 3","OV1002 CarboTax Day2 3","OV1002 CarboTax Day4 3","OV1002 CarboTax Day7 3","OV1002 CarboTax Day14 3","Molecule"
0.0304000257915256,0.0102132178866112,0.0216201757047667,0.0483237165782424,-0.123048084352078,"AKT1"
-0.0985915617019688,0.0508960572197608,0,0.131067715220137,-0.0860667808126192,"AKT1"
0.0224327952493208,0.0327771808913244,-0.224067218066769,0.0552099761406453,0,"AKT1"
0.0347806970977351,0.0625067658036009,-0.149741918971092,0.0141829059012788,0.0295369008770727,"BRCA1"
0,-0.0279101656218388,-0.0434968189288747,0.061085905340593,-0.0175890864117183,"BRCA1"
0.0102132178866112,0.0295369008770727,0.0148954622095507,-0.115417262636174,-0.0818887887109008,"BRCA1"
0.105961152936153,-0.115417405960253,0.0147952426529696,0.0295369008770727,-0.0181546549663256,"BRCA1"
0.0916751356714749,0,0.0490768741296188,0.021037393319113,0.0781724978320142,"CCNB1"
0,0,-0.0327771808913244,-0.0224327952493208,0,"CCND1"
0,-0.0327771808913244,0.143895560066393,0,0,"CDH1"
-0.0502671151905858,-0.0403667052151508,0.10347178049577,0.0317475577360047,-0.0187277647247179,"CDK2"
0.0125938303873543,-0.0225681391581971,0.141276756953264,-0.0225681391581971,0.0508960572197608,"CDK2"
0.0152030653962281,-0.0530342761339888,-0.0561739626149711,-0.0575970151305176,-0.0530342761339888,"CDKN1B"
0.0530342761339888,-0.087713313080839,-0.0512235292866268,-0.187335304639795,-0.019005892099194,"CDKN1B"
0,-0.0860667808126192,-0.0334011801279459,0,-0.0508960572197608,"CLDN7"
0,-0.0229939611076215,-0.133485883003721,0.0803145090960062,-0.0543578206946025,"CTNNB1"
0.0606715236737765,0,0.0259518339931715,0.0131857834210081,0,"CTNNB1"
-0.034994982420268,0,0.0351209652041238,0,0.0157584674149307,"CTNNB1"
-0.036697991064349,0.104257805420616,0.0373892824804871,0.0351209652041238,0.0156449936535017,"CTNNB1"
-0.0307477785751828,0,0.00912760287041614,-0.0216201757047667,-0.00912760287041614,"CTNNB1"
-0.0378588408578131,-0.0846293185768534,0.00707688987919664,-0.0383094494686032,-0.0147335797526171,"CTNNB1"
0,0.0475750365189977,0.0158742746059217,-0.00841754951009488,0.0312325595894065,"CTNNB1"
0.0289781485542484,-0.0148954622095507,0.047132803520574,0,0.0898302257906152,"EGFR"
-0.0177132355113865,-0.0503560015834448,-0.0164989798367894,-0.091904083263183,-0.0328518160512652,"EGFR"
0,0.0177132355113865,-0.0328518160512652,0,0.0514059366233819,"EGFR"
0.0335286172493525,-0.105961152936153,0.0909381567933902,-0.134017136538672,0.0876281067465028,"EGFR"
0.0157191964212919,0.0728143593299446,0.0771705035105659,0.046726998978698,-0.0157191964212919,"ERBB2"
-0.04295828816239,0.0328518160512652,0.0244041675902733,-0.0131857834210081,-0.0185541205721167,"ERBB2"
0.0593437031583735,-0.0279001524187041,-0.0142943243542621,0.0142943243542621,-0.0702636436404052,"ERBB2"
-0.0762967181258682,0.0329498976192952,-0.0147952426529696,0,-0.0909381567933902,"ERBB3"
0.0161884136457511,0.0162519537425387,0,-0.0324403673882898,-0.0324403673882898,"ERBB3"
-0.0260873603512466,-0.023125261105196,0,-0.0184602201247448,0.0445475804759914,"ERBB3"
-0.0347806970977351,0.0529651299860863,-0.0313687139952132,0.0233737392795796,-0.00824345289001727,"ERCC1"
-0.0483238599023221,0.0605222481763197,-0.047132803520574,0.119080222497843,0.0909381567933902,"ERCC1"
0,-0.0258842443301495,-0.0442817647064104,0,-0.0668837974166601,"ERCC1"
-0.0447534980222124,-0.018397520376261,0,-0.0258842443301495,-0.0258842443301495,"ERCC1"
0.0162519537425387,0,0,-0.0290956237023954,-0.0259425230304275,"ESR1"
0.0323801824718668,-0.0175890864117183,0,0,0.074312200498587,"HIF1A"
0,0.0713201126014331,0.0434968189288747,-0.0187277647247179,0.0403667052151508,"HIF1A"
0.0575970151305176,0.019005892099194,0.0702294213858208,-0.0163362850696398,0.0258842443301495,"HIF1A"
0.0508960572197608,-0.0268881547416164,-0.165068035124649,-0.112948838891701,0.184230576871729,"IGFBP3"
0,0,-0.164142189801054,-0.0259425230304275,0.0676719447063712,"IGFBP3"
0.0102130857453249,0,-0.078723742369768,0,-0.0929909038448775,"MAPK1"
0.0131190695616903,-0.0329498976192952,-0.0288129484650299,-0.0175890864117183,-0.0288129484650299,"MAPK1"
0,0,0.0288129484650299,-0.0131190695616903,-0.0131190695616903,"MAPK1"
0.106441077805557,-0.0713201126014331,-0.122199545220488,0.0502671151905858,0.0725102476846109,"MET"
0,-0.0507534498351987,-0.019005892099194,0.0674921691395931,-0.0668685229401285,"MLH1"
-0.0605222481763197,0.0473185695716198,0,0,-0.0147910960601485,"MSH2"
0.0205345606885716,0.111755966653801,-0.0102132178866112,0.0581891816811964,0.0400803958295115,"MSH2"
-0.0125938303873543,-0.0583828904187174,0.0208073497405916,0,0,"MSH6"
0,0.0385363534177818,0.0933646281642964,0.0955720971250753,-0.0514835310606201,"MYC"
-0.0484862770403991,0.0706377423523619,0.0706377423523619,0.0530342761339888,0.101878779836928,"MYC"
-0.021037393319113,-0.0263559776459514,0.021037393319113,-0.021037393319113,0,"NCOA3"
0.0461022937478304,-0.0585369344648536,0.0645757608481596,-0.0461022937478304,0.0218104696318138,"NCOA3"
0,0.0846293185768534,0,0.0846293185768534,0.0416710304144634,"PGR"
-0.0559925860290926,0,0.0227692040756211,0.058803762177702,0.0877458270838214,"PMS2"
