"HOX424 Carbo Day1","HOX424 Carbo Day2","HOX424 Carbo Day4","HOX424 Carbo Day7","HOX424 Carbo Day14","Molecule","HOX424 Carbo Day1 adj.p.val","HOX424 Carbo Day2 adj.p.val","HOX424 Carbo Day4 adj.p.val","HOX424 Carbo Day7 adj.p.val","HOX424 Carbo Day14 adj.p.val"
5.840729732875,-0.137223570124999,0.136166995583334,-0.0324157203333337,0.0416751645,"AKT1",0.00152400572683072,5.40661531504372e-09,7.36751658897064e-07,0.050556826111571,0.049575475817068
8.985333039625,0.0112274258750027,-0.0655919381666656,0.207535204916663,0.0303965199999983,"AKT1",0.000111098330771064,9.24258867733772e-11,5.36668700606674e-08,0.0076515927994002,0.00616755284989865
9.313060921125,-0.263319321874997,0.14638734441667,0.0151967158333335,0.0233574989999958,"AKT1",0.000106119905241866,5.00017287310018e-11,5.01536243277052e-08,0.0076515927994002,0.00616755284989865
6.083198238,-0.0326128162499986,-0.197169815083331,0.145138887333331,0.0472784995000017,"BRCA1",0.00115605669953438,1.45353463720064e-10,7.05307575882046e-08,0.0454299196811181,0.0435608015562794
7.287786605875,0.154228890125002,-0.151826608333334,-0.315370912166665,0.453714575249998,"BRCA1",0.000353814449376895,5.67217520502067e-11,1.18909895036363e-07,0.0280382758398388,0.0188662941597184
5.963702116375,-0.0202852766249997,0.039847862916667,-0.00531828691666636,0.105098936249998,"BRCA1",0.00138563878136635,2.56865801739113e-09,1.19263605679245e-07,0.0454299196811181,0.0433289497449208
6.76444731425,0.135815863250002,0.0901146655000016,-0.276611885500002,0.195722905750001,"BRCA1",0.000571489477918177,6.95956528020378e-11,7.47835455108932e-07,0.0309972213141851,0.0274491344267221
8.254913219875,-0.0114588683750014,0.0203940361666692,-0.0950927229166698,0.2068724065,"CCNB1",0.000154829802715026,1.8911943730022e-10,6.04693162509023e-07,0.0113695626373047,0.00938684896940722
10.941398235,-0.0270449699999986,0.242225581666666,0.0219384033333334,-0.385314134999998,"CCND1",6.35829589053954e-05,3.97363510033272e-11,1.42501639149459e-07,0.00125063692691199,0.00203316442244399
10.519036105,0.157375575000003,-0.0578677966666685,0.191104831666665,-0.268948607499997,"CDH1",6.88760845968172e-05,3.97363510033272e-11,5.36668700606674e-08,0.00169363892938253,0.00203316442244399
6.52069431225,-0.0394370812499982,-0.296339448,0.300225958999999,0.211028205750002,"CDK2",0.000753221242808309,5.09916113658734e-10,3.28715363560596e-07,0.0336861705458461,0.0291313053591785
8.734574550375,-0.260848102124999,0.0260066037500017,0.207879587749998,0.118159208000002,"CDK2",0.000120981159628995,4.56011366174926e-10,1.31922100638353e-07,0.00856592678781415,0.0069323612476677
7.800900001875,0.129567686374999,-0.380418302916665,0.0133857051666668,0.22450495825,"CDKN1B",0.000220035759655895,4.49511386977006e-11,7.24007067775842e-08,0.0177325956943102,0.0144360794351652
8.65155147975,-0.2185311415,-0.146250703249997,0.0861497442499974,0.215018486750001,"CDKN1B",0.000111098330771064,1.45353463720064e-10,7.4006237460319e-08,0.0105555093052997,0.00773043606157928
10.4376783335,0.241739614000002,-0.121592807500003,0.0698142499999985,-0.00479372499999897,"CLDN7",6.88760845968172e-05,3.35155409015735e-10,1.6712145367905e-07,0.0018201522077747,0.00203316442244399
6.543826350375,-0.0343731076249982,0.136676782583334,-0.304126697833333,0.346349296249999,"CTNNB1",0.00063829375953492,2.43737791102047e-09,1.00155116404628e-07,0.0375309803168543,0.0291313053591785
5.452721856125,-0.0629815471249975,-0.00917287700000013,0.0280128694999986,0.0922225454999994,"CTNNB1",0.00202159545746897,7.39876413739265e-10,2.47865105803896e-07,0.0558407713011178,0.0524506647899804
8.24172958625,-0.0713987449999944,0.143475437749998,0.00942709474999859,-0.0238457452499983,"CTNNB1",0.00017573092811123,1.67714711589598e-10,1.18909895036363e-07,0.0105555093052997,0.00975176897960401
7.989417456125,0.0544478176250021,0.153362266250001,-0.0131940985000014,-0.152124644000001,"CTNNB1",0.000220035759655895,1.29998703869235e-10,6.88347931431322e-08,0.0113695626373047,0.0120179975474959
5.810794057,0.124410019249999,-0.0483310809166673,-0.12112597858333,0.0262609529999995,"CTNNB1",0.00154065767709913,1.1159894128324e-09,9.01569177640956e-08,0.0513442703430327,0.0500356936720148
5.588641072875,-0.027611580374999,0.0554398874999977,-0.0189586262499999,-0.0512865822499986,"CTNNB1",0.00168346012388152,1.45353463720064e-10,1.78359928112799e-07,0.0517163354215075,0.0513488215602367
5.66941723425,-0.133926376000001,-0.0827231149166652,0.121129601666667,0.0161643639999989,"CTNNB1",0.00164788075609588,4.00393283344502e-10,1.44657620184842e-07,0.0517163354215075,0.051162241643605
6.07864835475,0.0858398897500017,-0.184692076166665,0.0344116669166654,0.0623162080000013,"EGFR",0.00115605669953438,3.20478745316621e-10,7.05307575882046e-08,0.0454299196811181,0.0433289497449208
5.321044776125,0.0697817001250014,0.0364240414166677,-0.0864241576666682,0.00859949375000113,"EGFR",0.00240321252155991,2.94207160758787e-10,1.19263605679245e-07,0.0580713119211515,0.0566045397468435
5.39293172625,0.104980961500001,-0.116630166749998,0.0384980134999982,-0.0322953749999995,"EGFR",0.00214424730952041,9.24258867733772e-11,8.54478750816532e-07,0.0558407713011178,0.0557478590806095
6.84635756525,-0.0440715444999977,0.131041857583335,-0.0160707900833339,-0.126099499000002,"EGFR",0.000564866118470826,6.98944285993616e-11,6.88347931431322e-08,0.0287183171141865,0.0291313053591785
