"HOX424 Control Day1","HOX424 Control Day7","HOX424 Control Day14","Molecule"
-0.0426974222700411,0.0496761593072859,0.155592177429497,"AKT1"
-0.0208073497405916,-0.0259425230304275,0.0593437031583735,"AKT1"
0.0208073497405916,-0.0334011801279459,0,"AKT1"
-0.157349423986973,-0.0307477785751828,0.119080222497843,"BRCA1"
0,0.0373892824804871,0.0210529974108473,"BRCA1"
-0.174097532368183,0.0102132178866112,0.192554071003526,"BRCA1"
0.077136808367352,-0.0175890864117183,-0.166132879329784,"BRCA1"
0,-0.114277168381725,-0.0473933709650645,"CCNB1"
-0.0552099761406453,0,0,"CCND1"
0,0,0,"CDH1"
0,0.0754606352760727,0,"CDK2"
0.0142943243542621,-0.0223879073582247,0.0664764734226799,"CDK2"
-0.0674921691395931,-0.11871569842622,0.0834812594606671,"CDKN1B"
-0.0701142674487318,-0.0992098911511272,0,"CDKN1B"
0.0552099761406453,0,0,"CLDN7"
0.058803762177702,0.0771482044711229,-0.164764915113855,"CTNNB1"
0.0289316196806517,0,0,"CTNNB1"
-0.0290956237023954,0.182359934610537,0.125565868797079,"CTNNB1"
0.021037393319113,0.165030618216923,0,"CTNNB1"
-0.0634540029678048,-0.0785005038760866,0.0131605213929684,"CTNNB1"
0.00707688987919664,-0.0404981466398011,0,"CTNNB1"
-0.120394772784231,-0.023125261105196,0.0400802636882251,"CTNNB1"
0.0785005038760866,-0.0233737392795796,-0.0114069578181555,"EGFR"
0.0131857834210081,0.0185541205721167,0,"EGFR"
-0.0244041675902733,-0.04295828816239,0,"EGFR"
0.101452610555744,-0.0187277647247179,-0.0827248458310259,"EGFR"
0.0461192222128175,0.0143516545655262,-0.0157191964212919,"ERBB2"
0.0473185695716198,0.27330668907594,-0.0181546549663256,"ERBB2"
0,0,0,"ERBB2"
-0.0651357594193076,0.0150229961427626,0.125658007595627,"ERBB3"
0,0,0.0225681391581971,"ERBB3"
0.00841754951009488,-0.0195457029996535,0,"ERBB3"
0.0147335797526171,0.025764566887184,0.025764566887184,"ERCC1"
0.00823859848178499,0,-0.0821469765842733,"ERCC1"
-0.061085905340593,-0.115402874609893,0.061085905340593,"ERCC1"
0.104019067105194,-0.125658007595627,-0.0281420657044529,"ERCC1"
0.025764566887184,-0.0383094494686032,-0.0175041855321796,"ESR1"
0.0152030653962281,0.116243706615892,-0.0152030653962281,"HIF1A"
0.036697991064349,-0.0373892824804871,-0.0210529974108473,"HIF1A"
0.0781724978320142,-0.114867765470944,-0.100560405190239,"HIF1A"
0.0733554825454483,0.164142189801054,-0.0992397268755978,"IGFBP3"
-0.036697991064349,0.137113218802481,-0.0194759715506221,"IGFBP3"
0.00933261725432866,0,-0.0532409172224799,"MAPK1"
0,-0.0335286172493525,0.0329498976192952,"MAPK1"
-0.033930830120946,0.0719060556810187,0.0152030653962281,"MAPK1"
0.019005892099194,-0.0416079248094436,-0.019005892099194,"MET"
-0.034994982420268,-0.034994982420268,0.019005892099194,"MLH1"
-0.0323801824718668,-0.0720970763698956,0,"MSH2"
0.13163438252642,-0.0329498976192952,-0.160612531080669,"MSH2"
0,0.0547883071603206,-0.0259425230304275,"MSH6"
0,0,0,"MYC"
0,0.0208073497405916,-0.11435220970486,"MYC"
0,-0.0440885660644552,-0.0279001524187041,"NCOA3"
0.0793282775737265,-0.0082603813550044,0,"NCOA3"
0,0.0244041675902733,0,"PGR"
-0.0386434786815428,0.0461192222128175,-0.0286733058700697,"PMS2"
-0.0142943243542621,0.0116481986761654,0.0421944767729663,"PMS2"
-0.0636234077449971,0.0239577949030769,0.0378588408578131,"PMS2"
0.0258842443301495,-0.0706377423523619,0,"PTEN"
0,0,0,"RPS6"
0,0,0,"RPS6"
-0.0496761593072859,0,0.0681363794320307,"SERPINE1"
-0.0157584674149307,-0.0157584674149307,0.0352344389655528,"VIM"
0.0716755708242895,-0.120856615145704,-0.0426974222700411,"VIM"
