"HOX424 Control Day1","HOX424 Control Day7","HOX424 Control Day14","Molecule"
2.56910613080458,2.5971621144071,2.61180355307462,"AKT1"
3.25676710081491,3.21823074739713,3.2775744505555,"AKT1"
3.2775744505555,3.24417327042755,3.25676710081491,"AKT1"
2.55889291291797,2.5383583522294,2.71624233690494,"BRCA1"
2.88507839139755,2.88507839139755,2.88507839139755,"BRCA1"
2.52902573497507,2.56910613080458,2.70312326734325,"BRCA1"
2.70312326734325,2.73103343296509,2.6259864589759,"BRCA1"
3.03783660385353,2.97095280643687,3.03783660385353,"CCNB1"
3.38620937052632,3.44141934666696,3.44141934666696,"CCND1"
3.40864216577564,3.40864216577564,3.40864216577564,"CDH1"
2.67431031887822,2.71624233690494,2.67431031887822,"CDK2"
3.24417327042755,3.16340247265061,3.22987894607329,"CDK2"
2.95194691433768,2.90072338505105,3.01943908347727,"CDKN1B"
3.06419258149948,3.06419258149948,3.13430684894822,"CDKN1B"
3.44141934666696,3.38620937052632,3.38620937052632,"CLDN7"
2.5971621144071,2.67431031887822,2.5383583522294,"CTNNB1"
2.45621137564512,2.42727975596447,2.42727975596447,"CTNNB1"
3.13430684894822,3.13430684894822,3.16340247265061,"CTNNB1"
3.0852299748186,3.0852299748186,3.06419258149948,"CTNNB1"
2.51881264922974,2.54748595509981,2.58226665219755,"CTNNB1"
2.49452082511373,2.44694578859473,2.48744393523453,"CTNNB1"
2.43849814013374,2.48744393523453,2.55889291291797,"CTNNB1"
2.6259864589759,2.55889291291797,2.54748595509981,"EGFR"
2.42727975596447,2.41409397254346,2.41409397254346,"EGFR"
2.41409397254346,2.39553985197135,2.43849814013374,"EGFR"
2.83248604352084,2.81375827879612,2.73103343296509,"EGFR"
2.51056919633973,2.49452082511373,2.46444997412691,"ERBB2"
2.68810027120049,2.79211933830568,2.64078170162887,"ERBB2"
3.73170874351933,3.73170874351933,3.73170874351933,"ERBB2"
2.74862251937681,2.70312326734325,2.81375827879612,"ERBB3"
3.3001425897137,3.32847050777526,3.3001425897137,"ERBB3"
2.50293837462382,2.51881264922974,2.49452082511373,"ERBB3"
2.48744393523453,2.47271035548191,2.47271035548191,"ERCC1"
2.46444997412691,2.50293837462382,2.45621137564512,"ERCC1"
2.73103343296509,2.74862251937681,2.79211933830568,"ERCC1"
2.79211933830568,2.68810027120049,2.68810027120049,"ERCC1"
2.47271035548191,2.45621137564512,2.44694578859473,"ESR1"
2.84768910891706,2.83248604352084,2.83248604352084,"HIF1A"
2.90072338505105,2.84768910891706,2.8640253939867,"HIF1A"
3.16340247265061,3.01943908347727,3.0852299748186,"HIF1A"
2.99355483914712,3.20197879365459,2.92019935660167,"IGFBP3"
2.8640253939867,3.03783660385353,2.90072338505105,"IGFBP3"
2.5383583522294,2.61180355307462,2.52902573497507,"MAPK1"
2.6589363565952,2.64078170162887,2.6589363565952,"MAPK1"
2.81375827879612,2.8640253939867,2.84768910891706,"MAPK1"
2.97095280643687,2.95194691433768,2.95194691433768,"MET"
2.9359578240166,2.9359578240166,2.97095280643687,"MLH1"
2.71624233690494,2.6589363565952,2.74862251937681,"MSH2"
2.61180355307462,2.6259864589759,2.4801691705482,"MSH2"
3.21823074739713,3.25676710081491,3.21823074739713,"MSH6"
3.32847050777526,3.3001425897137,3.32847050777526,"MYC"
3.18579038000884,3.2775744505555,3.18579038000884,"MYC"
3.20197879365459,3.18579038000884,3.20197879365459,"NCOA3"
2.58226665219755,2.46444997412691,2.50293837462382,"NCOA3"
2.39553985197135,2.43849814013374,2.39553985197135,"PGR"
2.4801691705482,2.51056919633973,2.51881264922974,"PMS2"
3.22987894607329,3.22987894607329,3.24417327042755,"PMS2"
2.44694578859473,2.4801691705482,2.51056919633973,"PMS2"
3.01943908347727,2.99355483914712,2.99355483914712,"PTEN"
3.65992229412316,3.65992229412316,3.65992229412316,"RPS6"
3.55253772584203,3.55253772584203,3.55253772584203,"RPS6"
2.54748595509981,2.52902573497507,2.5971621144071,"SERPINE1"
2.92019935660167,2.92019935660167,2.9359578240166,"VIM"
2.64078170162887,2.58226665219755,2.56910613080458,"VIM"
