"OV1002 Control Day1 1","OV1002 Control Day7 1","OV1002 Control Day14 1","Molecule"
-0.140950738761975,0.0529106401566524,0.124359617840091,"AKT1"
0.0433754888987887,0,-0.0433754888987887,"AKT1"
-0.0577388627510556,-0.0860667808126192,-0.0552099761406453,"AKT1"
-0.0147952426529696,0.105961152936153,0.0382692014891304,"BRCA1"
-0.0175890864117183,0.061085905340593,0.0279101656218388,"BRCA1"
-0.0400802636882251,-0.0532409172224799,-0.0233737392795796,"BRCA1"
-0.0307477785751828,-0.198706703011428,-0.0437198067783515,"BRCA1"
0,-0.0473933709650645,0,"CCNB1"
0.0801716580003764,0.0327771808913244,-0.0801716580003764,"CCND1"
0.111118379175069,-0.143895560066393,-0.111118379175069,"CDH1"
0,0.0315393504658679,-0.0713201126014331,"CDK2"
0.0324403673882898,-0.0955720971250753,-0.0385363534177818,"CDK2"
0.015989090321074,0.0733554825454483,0.0210529974108473,"CDKN1B"
0.0733554825454483,0.0187277647247179,-0.0530342761339888,"CDKN1B"
-0.0208073497405916,-0.0268881547416164,-0.0508960572197608,"CLDN7"
0.0673167845516125,0.0177132355113865,-0.046726998978698,"CTNNB1"
-0.0244041675902733,-0.0157191964212919,-0.0606715236737765,"CTNNB1"
-0.015989090321074,-0.0575970151305176,-0.019005892099194,"CTNNB1"
-0.0210529974108473,-0.0858744150393225,0,"CTNNB1"
0.0532409172224799,0.0205345606885716,-0.0502934815748364,"CTNNB1"
0.0383094494686032,-0.0559925860290926,-0.0804268525702629,"CTNNB1"
0.0461192222128175,0,0,"CTNNB1"
-0.0288243445688008,0,-0.0329498976192952,"EGFR"
-0.00844764846099189,0,0.0112183841692652,"EGFR"
0.0196660326302571,-0.00727476468632959,0.0514059366233819,"EGFR"
-0.0150229961427626,0.0141829059012788,0.047132803520574,"EGFR"
0.00745881506628754,0.0964752237962623,0.0404981466398011,"ERBB2"
0,-0.0131857834210081,0.0131857834210081,"ERBB2"
0.0116481986761654,-0.0259425230304275,-0.0421944767729663,"ERBB2"
0.047132803520574,0.0720970763698956,0,"ERBB3"
-0.0385763210039758,0,-0.0839238984489099,"ERBB3"
-0.109556296715635,-0.0260873603512466,-0.0345049098613415,"ERBB3"
0.108865178450799,0.0280559836025192,-0.0184602201247448,"ERCC1"
0.0573059803097471,0.0605222481763197,0,"ERCC1"
0,0.0657908913413254,0.018397520376261,"ERCC1"
0,0,0,"ERCC1"
0.0385763210039758,-0.0548282747465145,-0.0440885660644552,"ESR1"
-0.0335286172493525,-0.120856615145704,0.0288129484650299,"HIF1A"
-0.0216389404904329,-0.104019067105194,0,"HIF1A"
0.0194759715506221,-0.0502671151905858,0.10347178049577,"HIF1A"
-0.111118379175069,0.252395136128333,0.245239693125025,"IGFBP3"
-0.055969319286143,0.184230576871729,0.16583574076548,"IGFBP3"
-0.023125261105196,-0.0286733058700697,0.0739083781024883,"MAPK1"
-0.0419320180267202,-0.0323801824718668,0,"MAPK1"
0.0175890864117183,-0.0419320180267202,0,"MAPK1"
0.0555697706113789,0,0.0187277647247179,"MET"
-0.0928314540960704,0.019005892099194,0.034994982420268,"MLH1"
0.0150229961427626,-0.0153739622830269,-0.0567231140868687,"MSH2"
-0.0158742746059217,-0.023125261105196,-0.0496761593072859,"MSH2"
-0.0583828904187174,0.0385763210039758,-0.0334011801279459,"MSH6"
0,0.109866421479337,-0.0385763210039758,"MYC"
0.12326369751981,-0.0352344389655528,0,"MYC"
0,-0.018397520376261,-0.018397520376261,"NCOA3"
0.0345049098613415,0.0502934815748364,0,"NCOA3"
0.0131857834210081,-0.0177132355113865,0.0259518339931715,"PGR"
0.0114069578181555,0.0747755996179,-0.0354199776055752,"PMS2"
-0.0502671151905858,0.0351209652041238,-0.0512235292866268,"PMS2"
-0.0229939611076215,0.025764566887184,0,"PMS2"
-0.0858744150393225,0.0512235292866268,0.0163362850696398,"PTEN"
0,0,0,"RPS6"
0,0,0,"RPS6"
0.0307477785751828,0.0739083781024883,0.0502934815748364,"SERPINE1"
-0.0224327952493208,-0.163844896111462,0.166328355315714,"VIM"
0.0476955044822081,-0.0208073497405916,0.0440885660644552,"VIM"
