"OV1002 Carbo Day1","OV1002 Carbo Day2","OV1002 Carbo Day4","OV1002 Carbo Day7","OV1002 Carbo Day14","Molecule","OV1002 Carbo Day1 adj.p.val","OV1002 Carbo Day2 adj.p.val","OV1002 Carbo Day4 adj.p.val","OV1002 Carbo Day7 adj.p.val","OV1002 Carbo Day14 adj.p.val"
0.321934892093652,0.263377687319385,0.366842053125879,0.377016215745805,0.346808396739785,"AKT1",0.00787139600382066,8.69160400068107e-05,2.20534215887109e-06,0.0690194836186087,0.0707976671681896
1.81130363876211,1.78085073524823,1.82683608064429,1.80213031081751,1.84566382643896,"AKT1",0.00144325282551009,5.53172337291728e-12,1.71515517613018e-13,0.0381966236394004,0.0375493290590021
1.86448500286562,1.85042894421126,1.87410976387192,1.89527030946804,1.86125173888867,"AKT1",0.00144325282551009,5.53172337291728e-12,1.71515517613018e-13,0.0381966236394004,0.0375493290590021
0.493587016990147,0.50280633048666,0.438208254113515,0.429513477900867,0.521243651215898,"BRCA1",0.00153206377288615,5.88601827067786e-07,4.48046448125474e-08,0.0836390983815178,0.0378147928393412
0.727681064138478,0.734043666473295,0.789037577100108,0.742680099391331,0.755291996092684,"BRCA1",0.00144325282551009,1.43616604337271e-09,1.02548600395119e-09,0.0381966236394004,0.0375493290590021
0.452341370844611,0.415088331566828,0.406301954869667,0.447910414530987,0.456940166424345,"BRCA1",0.00148261763859913,1.58336867682226e-06,1.61159636911188e-06,0.0381966236394004,0.0385444459023532
0.525791580250633,0.565174902894322,0.564243885451804,0.557788463906755,0.620649381940927,"BRCA1",0.00144325282551009,9.91707499606933e-08,7.24769613980058e-09,0.0381966236394004,0.0375493290590021
1.43506823538662,1.36205731681736,1.51791437711037,1.60344835566816,1.52704405962218,"CCNB1",0.00144325282551009,4.96393252568558e-11,2.96387277879394e-12,0.0381966236394004,0.0375493290590021
1.91850997317369,1.86073793440699,1.90115869074763,1.94621673562548,1.93925404870241,"CCND1",0.00144325282551009,1.13508392639185e-11,3.68941740463384e-13,0.0381966236394004,0.0375493290590021
1.92484732323024,1.90092964959042,1.92537587563535,1.95413504192198,1.93485932341211,"CDH1",0.00144325282551009,5.53172337291728e-12,1.71515517613018e-13,0.0381966236394004,0.0375493290590021
1.03213184118171,1.1035349170827,1.10009973100133,0.987587162728175,1.0214883885659,"CDK2",0.00144325282551009,7.35290446959382e-10,1.09446579584715e-11,0.0381966236394004,0.0375493290590021
1.77447551627406,1.75943463176136,1.8161592712917,1.82256817600477,1.7961543901558,"CDK2",0.00144325282551009,1.05057939788527e-11,2.84151573702523e-13,0.0381966236394004,0.0375493290590021
1.13290376606131,1.14041737050467,1.1331981293738,1.09095943819689,1.11756332809408,"CDKN1B",0.00144325282551009,5.53506301894818e-11,2.37031741930606e-11,0.0381966236394004,0.0375493290590021
1.0896498717759,1.17425685010344,1.10936027045189,1.15193446698168,1.10032259891812,"CDKN1B",0.00148261763859913,8.26200394394521e-11,1.61749375678982e-11,0.0381966236394004,0.0375493290590021
1.80502303073824,1.77461034299457,1.7765662910951,1.81879076142733,1.79400102387552,"CLDN7",0.00144325282551009,8.61113779889534e-12,2.84151573702523e-13,0.0381966236394004,0.0375493290590021
0.139313433244531,0.239213598495142,0.0977915403896235,0.184797149589962,0.172091033613641,"CTNNB1",0.0799617729691906,0.000316540292984775,0.0130315225188361,0.108322257698124,0.189346515858248
0.141053414200114,0.129344192604677,0.130423280520014,0.0595416105561121,0.155521023467079,"CTNNB1",0.0149618712030476,0.00470711323926606,0.00716924400012363,0.597900874087321,0.175392848839337
1.18346806977816,1.18787602697146,1.18311987697889,1.14628029335664,1.19104156568304,"CTNNB1",0.00144325282551009,5.79131193385965e-11,4.48613117743592e-12,0.0381966236394004,0.0378147928393412
1.08207954061193,1.08244959543199,1.06710910018915,1.0611174853467,1.07525743308643,"CTNNB1",0.00148261763859913,9.81858769037825e-11,1.89081314118987e-11,0.0381966236394004,0.0385444459023532
0.373143464058259,0.427347449336816,0.356374358702089,0.29206835788872,0.393194405181748,"CTNNB1",0.00191898541300762,6.39092945825772e-07,1.69400242765923e-07,0.0889172610016705,0.042102901974244
0.152290764316748,0.249374014746252,0.252495812394536,0.207408114310514,0.136087234874428,"CTNNB1",0.02104603857906,0.000235705349568391,7.23612391588646e-06,0.0932091505373227,0.228270876540031
0.261301862621759,0.215729996416335,0.290988335693638,0.187052402127577,0.267113715596886,"CTNNB1",0.00191898541300762,0.000591462764841723,0.00035191589455625,0.146033199033116,0.051956420492493
0.522857992917191,0.500651387445781,0.537750009927383,0.562848510513714,0.497288890397906,"EGFR",0.00191898541300762,5.64031566047601e-08,1.46738950006869e-08,0.0389103331472975,0.0508671118607604
0.0222358787241709,0.110185200865604,0.0647808823197002,0.159425743325484,0.00519743158688943,"EGFR",0.649770239756516,0.015423810005272,0.0632348427497398,0.125335684013578,0.953532176536433
0.101089719274257,0.0687801733409,0.192959378924272,0.0587133547416132,0.103837595266508,"EGFR",0.0543939782304758,0.0735643545096049,0.000185767911569175,0.593630418124121,0.288784453801913
0.548935672117752,0.56028673655393,0.502525901036326,0.545929486074476,0.527450918029715,"EGFR",0.00181310453955239,4.69323837412138e-08,9.43488451673652e-09,0.0381966236394004,0.042102901974244
0.234350352545798,0.330119982499479,0.246367152439143,0.263129257797388,0.214129939045649,"ERBB2",0.00233222654267053,1.94201414413222e-06,8.6043026558274e-05,0.0546543968918951,0.098835830182937
