"HOX424 Carbo Day1 3","HOX424 Carbo Day2 3","HOX424 Carbo Day7 3","HOX424 Carbo Day14 3","Molecule"
2.5971621144071,2.45621137564512,2.52902573497507,2.58226665219755,"AKT1"
3.16340247265061,3.2775744505555,3.25676710081491,3.3001425897137,"AKT1"
3.3001425897137,3.24417327042755,3.3001425897137,3.2775744505555,"AKT1"
2.6259864589759,2.54748595509981,2.58226665219755,2.5971621144071,"BRCA1"
2.88507839139755,2.90072338505105,2.83248604352084,2.97095280643687,"BRCA1"
2.5383583522294,2.5383583522294,2.5971621144071,2.71624233690494,"BRCA1"
2.6589363565952,2.81375827879612,2.71624233690494,2.74862251937681,"BRCA1"
3.06419258149948,2.99355483914712,3.0852299748186,3.0852299748186,"CCNB1"
3.44141934666696,3.40864216577564,3.44141934666696,3.40864216577564,"CCND1"
3.38620937052632,3.38620937052632,3.40864216577564,3.38620937052632,"CDH1"
2.64078170162887,2.68810027120049,2.64078170162887,2.84768910891706,"CDK2"
3.13430684894822,3.06419258149948,3.21823074739713,3.16340247265061,"CDK2"
2.95194691433768,3.01943908347727,2.95194691433768,2.9359578240166,"CDKN1B"
3.18579038000884,3.13430684894822,3.13430684894822,3.03783660385353,"CDKN1B"
3.40864216577564,3.44141934666696,3.38620937052632,3.44141934666696,"CLDN7"
2.67431031887822,2.73103343296509,2.70312326734325,2.79211933830568,"CTNNB1"
2.44694578859473,2.39553985197135,2.44694578859473,2.46444997412691,"CTNNB1"
3.0852299748186,3.03783660385353,3.03783660385353,2.99355483914712,"CTNNB1"
2.99355483914712,2.97095280643687,2.99355483914712,2.95194691433768,"CTNNB1"
2.56910613080458,2.6259864589759,2.49452082511373,2.56910613080458,"CTNNB1"
2.51056919633973,2.44694578859473,2.45621137564512,2.49452082511373,"CTNNB1"
2.61180355307462,2.51056919633973,2.47271035548191,2.4801691705482,"CTNNB1"
2.55889291291797,2.56910613080458,2.56910613080458,2.54748595509981,"EGFR"
2.39553985197135,2.43849814013374,2.42727975596447,2.45621137564512,"EGFR"
2.42727975596447,2.48744393523453,2.48744393523453,2.39553985197135,"EGFR"
2.70312326734325,2.74862251937681,2.84768910891706,2.70312326734325,"EGFR"
2.41409397254346,2.49452082511373,2.51056919633973,2.48744393523453,"ERBB2"
2.58226665219755,2.64078170162887,2.67431031887822,2.5383583522294,"ERBB2"
3.73170874351933,3.73170874351933,3.73170874351933,3.73170874351933,"ERBB2"
2.73103343296509,2.70312326734325,2.73103343296509,2.64078170162887,"ERBB3"
3.25676710081491,3.32847050777526,3.32847050777526,3.25676710081491,"ERBB3"
2.51881264922974,2.51881264922974,2.5383583522294,2.43849814013374,"ERBB3"
2.48744393523453,2.46444997412691,2.46444997412691,2.47271035548191,"ERCC1"
2.46444997412691,2.47271035548191,2.43849814013374,2.6259864589759,"ERCC1"
2.84768910891706,2.84768910891706,2.81375827879612,2.83248604352084,"ERCC1"
2.71624233690494,2.71624233690494,2.74862251937681,2.6589363565952,"ERCC1"
2.50293837462382,2.4801691705482,2.4801691705482,2.52902573497507,"ESR1"
2.81375827879612,2.79211933830568,2.79211933830568,2.73103343296509,"HIF1A"
2.8640253939867,2.88507839139755,2.88507839139755,2.8640253939867,"HIF1A"
3.20197879365459,3.16340247265061,3.16340247265061,3.06419258149948,"HIF1A"
2.97095280643687,3.21823074739713,3.01943908347727,3.24417327042755,"IGFBP3"
2.83248604352084,3.0852299748186,2.92019935660167,3.22987894607329,"IGFBP3"
2.54748595509981,2.55889291291797,2.61180355307462,2.44694578859473,"MAPK1"
2.74862251937681,2.58226665219755,2.6589363565952,2.61180355307462,"MAPK1"
2.79211933830568,2.83248604352084,2.8640253939867,2.67431031887822,"MAPK1"
3.01943908347727,2.95194691433768,2.97095280643687,2.90072338505105,"MET"
2.92019935660167,2.9359578240166,2.9359578240166,2.88507839139755,"MLH1"
2.90072338505105,2.67431031887822,2.68810027120049,2.81375827879612,"MSH2"
2.68810027120049,2.6589363565952,2.55889291291797,2.51881264922974,"MSH2"
3.2775744505555,3.18579038000884,3.24417327042755,3.20197879365459,"MSH6"
3.32847050777526,3.3001425897137,3.2775744505555,3.32847050777526,"MYC"
3.24417327042755,3.22987894607329,3.18579038000884,3.18579038000884,"MYC"
3.22987894607329,3.20197879365459,3.20197879365459,3.13430684894822,"NCOA3"
2.45621137564512,2.50293837462382,2.50293837462382,2.51056919633973,"NCOA3"
2.43849814013374,2.42727975596447,2.39553985197135,2.42727975596447,"PGR"
2.47271035548191,2.52902573497507,2.54748595509981,2.55889291291797,"PMS2"
3.21823074739713,3.25676710081491,3.22987894607329,3.21823074739713,"PMS2"
2.4801691705482,2.41409397254346,2.41409397254346,2.41409397254346,"PMS2"
3.03783660385353,2.92019935660167,3.06419258149948,3.01943908347727,"PTEN"
3.65992229412316,3.55253772584203,3.65992229412316,3.65992229412316,"RPS6"
3.55253772584203,3.65992229412316,3.55253772584203,3.55253772584203,"RPS6"
2.49452082511373,2.5971621144071,2.51881264922974,2.50293837462382,"SERPINE1"
2.9359578240166,2.8640253939867,2.90072338505105,2.92019935660167,"VIM"
2.52902573497507,2.61180355307462,2.6259864589759,2.68810027120049,"VIM"
