"HOX424 CarboTax Day1 1","HOX424 CarboTax Day2 1","HOX424 CarboTax Day4 1","HOX424 CarboTax Day7 1","HOX424 CarboTax Day14 1","Molecule"
-0.0298671779429003,0.0369167587600869,-0.0488565644268677,0,-0.0286733058700697,"AKT1"
0.0142943243542621,0.0142943243542621,-0.0476955044822081,-0.0421944767729663,0.0334011801279459,"AKT1"
0.0334011801279459,0.0125938303873543,0,-0.0208073497405916,-0.0208073497405916,"AKT1"
0.0400803958295115,-0.101234356734895,0.0102132178866112,0.0716755708242895,0.0329498976192952,"BRCA1"
-0.0156449936535017,0.0512235292866268,0,-0.0373892824804871,0.115402874609893,"BRCA1"
-0.0347806970977351,-0.0559545382941469,0.131465633862173,0.0114069578181555,-0.0529106401566524,"BRCA1"
-0.0502671151905858,0.0152030653962281,0.158175724642613,-0.0216389404904329,0.0720970763698956,"BRCA1"
-0.0701142674487318,0.140752009801094,-0.0442817647064104,-0.0447534980222124,-0.0226020327102496,"CCNB1"
0,-0.0552099761406453,0,0,0.0327771808913244,"CCND1"
-0.0224327952493208,0.0327771808913244,0,0.0224327952493208,-0.0327771808913244,"CDH1"
0,0.074312200498587,0.0335286172493525,-0.0483238599023221,0.0281420657044529,"CDK2"
0,0.0162519537425387,-0.0385763210039758,-0.0514835310606201,0.0142943243542621,"CDK2"
0.0992397268755978,0.0575970151305176,0.0484862770403991,-0.0992397268755978,-0.018397520376261,"CDKN1B"
0,0.0290956237023954,0.121597798509352,0.0548282747465145,0.114277168381725,"CDKN1B"
0.0224327952493208,0.0224327952493208,0,-0.0224327952493208,0,"CLDN7"
-0.0288243445688008,-0.0913197142686308,-0.0181546549663256,0.105961152936153,0.00707688987919664,"CTNNB1"
-0.0317399039931248,-0.0244041675902733,-0.0514059366233819,0.0514059366233819,0.0112183841692652,"CTNNB1"
-0.0258842443301495,-0.021037393319113,-0.0290956237023954,0.0442817647064104,-0.0290956237023954,"CTNNB1"
-0.0416079248094436,-0.0447534980222124,-0.0701142674487318,0.112245667161806,-0.0706377423523619,"CTNNB1"
-0.0286733058700697,-0.0783494651773555,-0.0184602201247448,0.0195457029996535,0.0307477785751828,"CTNNB1"
-0.0756586186593498,0.00823859848178499,-0.0239577949030769,0.0454305995174411,-0.0164989798367894,"CTNNB1"
0.0328518160512652,0.0289316196806517,-0.0739083781024883,0.0092655870503946,-0.0328518160512652,"CTNNB1"
0.0426974222700411,0.0437198067783515,0.124359617840091,-0.0295369008770727,0.0865929180673728,"EGFR"
0.0177132355113865,0.04295828816239,0,-0.0421174031016598,-0.0689101221555615,"EGFR"
-0.0586163829384492,-0.0196660326302571,0.0514059366233819,-0.0185541205721167,0.0317399039931248,"EGFR"
-0.0403667052151508,-0.159588837716573,-0.0403667052151508,0.0719060556810187,-0.0869651062549348,"EGFR"
-0.0509144169948668,-0.0438375271156701,0.0461022937478304,0.0313687139952132,-0.0559545382941469,"ERBB2"
-0.0150229961427626,0.0441869107480568,-0.0429331617646014,0.0281420657044529,-0.0288129484650299,"ERBB2"
0,0,0,0,0,"ERBB2"
0.0573059803097471,0.0429331617646014,0.0429331617646014,0.0147910960601485,-0.0889960709624318,"ERBB3"
0,0,0,0.0283279180615637,0,"ERBB3"
0.0739083781024883,0.0739083781024883,-0.0716974558578221,-0.0277891558896708,-0.0865929180673728,"ERBB3"
0.0164989798367894,0,0.0164989798367894,-0.0454305995174411,-0.0302280191419086,"ERCC1"
0,0.0345049098613415,0.0354199776055752,-0.00763082171590446,0.0312325595894065,"ERCC1"
0.101452610555744,0.0838635241440255,0.0651357594193076,-0.158175724642613,0.0152030653962281,"ERCC1"
-0.0434968189288747,0.0975159418911744,-0.0975159418911744,0,-0.0216389404904329,"ERCC1"
0.0332233819534715,-0.0332233819534715,-0.0158742746059217,0,0.0259518339931715,"ESR1"
-0.0454992520335571,-0.0758770014007415,-0.0434968189288747,0.110635011452865,-0.0281420657044529,"HIF1A"
0.0163362850696398,0.0156449936535017,-0.0156449936535017,0.036697991064349,-0.0315393504658679,"HIF1A"
0.021037393319113,-0.100560405190239,0,0,-0.0157584674149307,"HIF1A"
0.0490768741296188,-0.101878779836928,0.0317475577360047,0.0290956237023954,-0.0933646281642964,"IGFBP3"
0,-0.12808001829599,0.0156449936535017,-0.019005892099194,-0.021037393319113,"IGFBP3"
0.0288243445688008,0,-0.0295369008770727,-0.0288243445688008,0.0437198067783515,"MAPK1"
-0.0291639146052942,0.0483238599023221,-0.0441869107480568,0,0.0175890864117183,"MAPK1"
0.033930830120946,0.0502671151905858,0,-0.0152030653962281,0.0373892824804871,"MAPK1"
-0.015989090321074,-0.0992397268755978,-0.0226020327102496,0.0575970151305176,0.0317475577360047,"MET"
-0.0352344389655528,0.019005892099194,-0.015989090321074,0.0352344389655528,-0.015989090321074,"MLH1"
0.0147910960601485,-0.0720970763698956,-0.0131190695616903,-0.0429331617646014,-0.0335286172493525,"MSH2"
0,0.0280559836025192,0.0865929180673728,-0.0716755708242895,-0.0307477785751828,"MSH2"
-0.0208073497405916,-0.0547883071603206,0.0476955044822081,0.0208073497405916,0.0116481986761654,"MSH6"
0,0,0,-0.0283279180615637,0,"MYC"
-0.0268881547416164,0,-0.0259425230304275,0,0.0514835310606201,"MYC"
0,-0.0324403673882898,0.0161884136457511,0.0259425230304275,0.0162519537425387,"NCOA3"
-0.0158742746059217,-0.0488565644268677,-0.074585305690853,-0.038488400496913,0.0286733058700697,"NCOA3"
0.0689101221555615,-0.0185541205721167,0,-0.0259518339931715,0.0328518160512652,"PGR"
