"HOX424 CarboTax Day1","HOX424 CarboTax Day2","HOX424 CarboTax Day4","HOX424 CarboTax Day7","HOX424 CarboTax Day14","Molecule"
2.51056919633973,2.51056919633973,2.52902573497507,2.55889291291797,2.54748595509981,"AKT1"
3.21823074739713,3.22987894607329,3.2775744505555,3.22987894607329,3.24417327042755,"AKT1"
3.2775744505555,3.24417327042755,3.25676710081491,3.24417327042755,3.2775744505555,"AKT1"
2.55889291291797,2.61180355307462,2.55889291291797,2.52902573497507,2.6259864589759,"BRCA1"
2.92019935660167,2.90072338505105,2.84768910891706,2.90072338505105,2.74862251937681,"BRCA1"
2.54748595509981,2.55889291291797,2.49452082511373,2.58226665219755,2.61180355307462,"BRCA1"
2.84768910891706,2.83248604352084,2.67431031887822,2.8640253939867,2.6589363565952,"BRCA1"
3.06419258149948,2.99355483914712,3.03783660385353,3.13430684894822,2.99355483914712,"CCNB1"
3.44141934666696,3.44141934666696,3.44141934666696,3.44141934666696,3.40864216577564,"CCND1"
3.40864216577564,3.40864216577564,3.40864216577564,3.40864216577564,3.44141934666696,"CDH1"
2.6589363565952,2.67431031887822,2.64078170162887,2.67431031887822,2.68810027120049,"CDK2"
3.20197879365459,3.20197879365459,3.20197879365459,3.18579038000884,3.22987894607329,"CDK2"
2.95194691433768,2.9359578240166,2.97095280643687,2.92019935660167,3.03783660385353,"CDKN1B"
3.16340247265061,3.13430684894822,3.06419258149948,3.16340247265061,2.97095280643687,"CDKN1B"
3.38620937052632,3.38620937052632,3.38620937052632,3.38620937052632,3.38620937052632,"CLDN7"
2.6259864589759,2.70312326734325,2.6589363565952,2.6259864589759,2.48744393523453,"CTNNB1"
2.44694578859473,2.43849814013374,2.44694578859473,2.42727975596447,2.42727975596447,"CTNNB1"
3.0852299748186,3.0852299748186,3.16340247265061,3.01943908347727,3.16340247265061,"CTNNB1"
3.03783660385353,3.06419258149948,3.13430684894822,2.99355483914712,3.06419258149948,"CTNNB1"
2.58226665219755,2.5971621144071,2.54748595509981,2.54748595509981,2.5383583522294,"CTNNB1"
2.45621137564512,2.45621137564512,2.4801691705482,2.50293837462382,2.47271035548191,"CTNNB1"
2.43849814013374,2.42727975596447,2.5383583522294,2.41409397254346,2.44694578859473,"CTNNB1"
2.56910613080458,2.58226665219755,2.48744393523453,2.56910613080458,2.51056919633973,"EGFR"
2.41409397254346,2.39553985197135,2.42727975596447,2.43849814013374,2.46444997412691,"EGFR"
2.39553985197135,2.44694578859473,2.39553985197135,2.47271035548191,2.39553985197135,"EGFR"
2.79211933830568,2.84768910891706,2.83248604352084,2.83248604352084,2.90072338505105,"EGFR"
2.51881264922974,2.5383583522294,2.47271035548191,2.5383583522294,2.55889291291797,"ERBB2"
2.83248604352084,2.6589363565952,2.73103343296509,2.70312326734325,2.70312326734325,"ERBB2"
3.73170874351933,3.73170874351933,3.73170874351933,3.73170874351933,3.73170874351933,"ERBB2"
2.68810027120049,2.68810027120049,2.68810027120049,2.6589363565952,2.79211933830568,"ERBB3"
3.3001425897137,3.3001425897137,3.32847050777526,3.3001425897137,3.3001425897137,"ERBB3"
2.50293837462382,2.46444997412691,2.58226665219755,2.46444997412691,2.5971621144071,"ERBB3"
2.46444997412691,2.48744393523453,2.45621137564512,2.45621137564512,2.50293837462382,"ERCC1"
2.5383583522294,2.49452082511373,2.50293837462382,2.51056919633973,2.45621137564512,"ERCC1"
2.74862251937681,2.74862251937681,2.74862251937681,2.73103343296509,2.83248604352084,"ERCC1"
2.73103343296509,2.71624233690494,2.81375827879612,2.79211933830568,2.81375827879612,"ERCC1"
2.47271035548191,2.4801691705482,2.51881264922974,2.44694578859473,2.43849814013374,"ESR1"
2.70312326734325,2.79211933830568,2.79211933830568,2.74862251937681,2.71624233690494,"HIF1A"
2.8640253939867,2.88507839139755,2.90072338505105,2.84768910891706,2.8640253939867,"HIF1A"
3.13430684894822,3.18579038000884,3.0852299748186,3.06419258149948,2.9359578240166,"HIF1A"
2.99355483914712,3.03783660385353,2.92019935660167,3.0852299748186,3.25676710081491,"IGFBP3"
2.88507839139755,2.92019935660167,2.88507839139755,2.97095280643687,3.0852299748186,"IGFBP3"
2.61180355307462,2.64078170162887,2.61180355307462,2.5971621144071,2.58226665219755,"MAPK1"
2.67431031887822,2.6259864589759,2.70312326734325,2.68810027120049,2.73103343296509,"MAPK1"
2.81375827879612,2.81375827879612,2.8640253939867,2.81375827879612,2.84768910891706,"MAPK1"
2.97095280643687,3.01943908347727,2.99355483914712,2.95194691433768,2.92019935660167,"MET"
2.9359578240166,2.95194691433768,2.95194691433768,2.9359578240166,2.95194691433768,"MLH1"
2.71624233690494,2.73103343296509,2.71624233690494,2.71624233690494,2.67431031887822,"MSH2"
2.64078170162887,2.56910613080458,2.51056919633973,2.64078170162887,2.56910613080458,"MSH2"
3.24417327042755,3.25676710081491,3.22987894607329,3.2775744505555,3.21823074739713,"MSH6"
3.32847050777526,3.32847050777526,3.3001425897137,3.32847050777526,3.32847050777526,"MYC"
3.25676710081491,3.2775744505555,3.24417327042755,3.25676710081491,3.13430684894822,"MYC"
3.18579038000884,3.21823074739713,3.18579038000884,3.21823074739713,3.20197879365459,"NCOA3"
2.4801691705482,2.52902573497507,2.56910613080458,2.51881264922974,2.51881264922974,"NCOA3"
2.42727975596447,2.41409397254346,2.41409397254346,2.39553985197135,2.41409397254346,"PGR"
2.49452082511373,2.51881264922974,2.43849814013374,2.48744393523453,2.4801691705482,"PMS2"
3.22987894607329,3.16340247265061,3.21823074739713,3.20197879365459,3.18579038000884,"PMS2"
