"HOX424 Control Day1","HOX424 Control Day7","HOX424 Control Day14","Molecule"
-0.0404405721179971,0.170647326885059,0.363050523259414,"AKT1"
-0.0580641751239508,-0.0616793739499883,0.124414286107306,"AKT1"
0.027878092215587,-0.0903302687106298,0.0286696705630582,"AKT1"
-0.318998433194756,0.0248499170581249,0.272209688823565,"BRCA1"
0.034897936826922,-0.0540838811015751,0.068760681362616,"BRCA1"
-0.388876817260418,0.081101308908604,0.473316213809211,"BRCA1"
0.2433282127032,-0.114455910155688,-0.25981371754774,"BRCA1"
0.0750980172515923,-0.188174681721343,-0.146600013843527,"CCNB1"
-0.0474269345048446,-0.0227878714080219,0.0476779546937791,"CCND1"
-0.0222951561879188,0.00546648645332182,0.0540419639247078,"CDH1"
-0.00280432725736479,0.178416942089457,0.162527730686441,"CDK2"
0.0415014643623444,-0.0887942691444592,0.113198790642122,"CDK2"
-0.0661331020013651,-0.289052466274173,0.157101201481167,"CDKN1B"
0.0247300517935423,-0.158310463334536,-0.0744530667610921,"CDKN1B"
0.000612772051308719,-0.00125639456337034,0.0566197659432426,"CLDN7"
0.180279846994475,0.227051619438336,-0.376066309295222,"CTNNB1"
0.0914346795955891,0.061936882549485,-0.026680322980502,"CTNNB1"
0.0384600645092195,0.260366092092364,0.0490800274214753,"CTNNB1"
0.111726797275524,0.322017464306082,-0.0850024045041782,"CTNNB1"
-0.163678333197198,-0.147486974015693,0.0610259799321392,"CTNNB1"
0.0685801199188365,-0.0763905542379594,-0.0596609013767452,"CTNNB1"
-0.269364000375976,-0.048201118724061,0.109066306138355,"CTNNB1"
0.252745189254603,0.00867608591027774,-0.0750488775174143,"EGFR"
0.0953683892843952,0.0817317884311707,-0.0407373161543703,"EGFR"
-0.0156592192979641,-0.0257012383277296,-0.000472597533848054,"EGFR"
0.106180773611285,-0.203029870900266,-0.0414696694025753,"EGFR"
0.172707845531824,0.00830056076622823,-0.106742674925156,"ERBB2"
0.121813547528862,0.511025744793563,0.0519641242818097,"ERBB2"
0.00292639442081066,-0.0119069539609902,0.0230232709188676,"ERBB2"
-0.0537888042371697,0.0253960260233882,0.27953880556765,"ERBB3"
-0.0288750306203498,-0.00992791188879605,0.0835927326682504,"ERBB3"
0.084921908904281,-0.0111741421581324,-0.0760850259704622,"ERBB3"
0.0568371887190375,0.00889099304066898,0.0669612908540497,"ERCC1"
0.0875631611985896,-0.00447840052891296,-0.265871272921066,"ERCC1"
-0.0904141619702818,-0.285213745472003,0.150827162874956,"ERCC1"
0.137482515256441,-0.261390742580483,0.0297701814636466,"ERCC1"
0.0998734946749684,-0.0753486419458027,-0.0528538324889501,"ESR1"
-0.0166339104300468,0.113799451688234,0.0769516602163884,"HIF1A"
0.0921841863388297,-0.159262338116331,-0.0115729160265323,"HIF1A"
0.165278264739729,-0.165713349284703,-0.214177328965505,"HIF1A"
0.162828349926232,0.110459571770593,-0.19657032270212,"IGFBP3"
-0.0201237231446347,0.246030977056186,-0.0373925094144691,"IGFBP3"
0.0861689631813946,-0.00392448157513614,-0.109198431317548,"MAPK1"
-0.0198493992670434,0.0309666368661494,0.131606930836481,"MAPK1"
-0.0660685432712437,-0.0106513989461636,0.122409938444452,"MAPK1"
0.104564913511438,-0.0859275422620829,-0.139697253734777,"MET"
-0.0870426712074297,-0.0582194441355963,0.107608463917508,"MLH1"
-0.0262854360477445,-0.0872730244929628,0.042325381422066,"MSH2"
0.395410152257263,-0.0543732208075377,-0.392968431526762,"MSH2"
0.0186959501283799,0.0284045418318011,-0.0211649746644831,"MSH6"
-0.0216172851537351,-0.00958426775376475,0.016923317106273,"MYC"
0.00541745142984729,-0.00180011015863757,-0.122969894529316,"MYC"
0.0152067887805105,-0.0871765617153673,-0.0264162033484918,"NCOA3"
0.253418556171082,-0.0455985335731245,-0.0522851052343841,"NCOA3"
-0.00978596520760372,0.122805169330643,-0.0957552257725324,"PGR"
-0.0721845768344623,0.0639596669244586,-0.105866113961804,"PMS2"
-0.0283050410806143,-0.0194778909693247,0.0706523859452775,"PMS2"
-0.121087503968298,0.00525595840326273,0.0563769942953074,"PMS2"
0.0356554441556611,-0.142800056686261,-0.00195321965081474,"PTEN"
-0.00255250902487747,-0.00891511623446206,0.029820841353295,"RPS6"
-0.00139984104607627,-0.00775205522770883,0.0346516330224829,"RPS6"
-0.021202912490092,0.035325195126969,0.115681496214031,"SERPINE1"
0.0656882706509012,-0.126364891632907,0.0433573421482756,"VIM"
0.216322617303497,-0.262936465942529,-0.105954372254725,"VIM"
