"HOX424 CarboTax Day1","HOX424 CarboTax Day2","HOX424 CarboTax Day4","HOX424 CarboTax Day7","HOX424 CarboTax Day14","Molecule","HOX424 CarboTax Day1 adj.p.val","HOX424 CarboTax Day2 adj.p.val","HOX424 CarboTax Day4 adj.p.val","HOX424 CarboTax Day7 adj.p.val","HOX424 CarboTax Day14 adj.p.val"
5.818343575125,5.8098728125,5.76710067175,5.903698664,5.81910752875,"AKT1",0.00145817260338986,1.16747176135676e-44,5.09483867181413e-145,0.0471147658060872,0.0497750977402841
9.039813355,9.0916357855,9.079754119,8.903118453,9.1620201885,"AKT1",0.000135133906160569,4.54910715589888e-56,2.46364841034848e-181,0.00847532979387299,0.00734481634458408
9.270563689625,9.197415145,9.10168108125,9.17542175775,9.220579129,"AKT1",0.000125648036246436,2.4195508940739e-56,1.7332524151712e-181,0.00772463272193536,0.00734481634458408
6.049057850375,5.904720829,6.05496054025,5.965676844,6.0838611145,"BRCA1",0.00121559381701185,4.70271852834136e-45,7.09405975122223e-149,0.0458977664645089,0.0454619671272886
7.253925501375,7.5911133995,7.1967533045,7.1265192195,7.1438976575,"BRCA1",0.00037397779546763,1.53322446611373e-51,9.65015444459795e-163,0.0249135302303674,0.0251799169934281
5.98881716325,5.855270887,5.95197600625,6.050239746,5.98666300825,"BRCA1",0.00134053438108476,7.70529954510706e-45,1.62246602129744e-147,0.0438399225968184,0.0468214348342039
6.822326242375,7.0459761855,6.77436209275,6.84157727075,6.66000425225,"BRCA1",0.000545219256901259,1.36633919313798e-49,7.03471269996438e-158,0.0299390114990831,0.0310970215873275
7.92540963,8.185084663,8.17492355775,8.068916094,7.8514657955,"CCNB1",0.000237026312180691,1.90385509918662e-53,5.19318475583678e-173,0.0127428624557949,0.0145966755368482
10.94408959375,10.816498185,11.13402751,11.643438885,10.8376818875,"CCND1",4.58388211543201e-05,2.21403913831132e-60,9.27690018301544e-198,0.00062988913416808,0.00153070580358817
10.762546055,10.594369305,10.7739801,10.7590339775,10.8803301175,"CDH1",4.58388211543201e-05,6.56455818544568e-60,3.85935515688841e-195,0.00160574261026912,0.00153070580358817
6.60311037,6.5932113495,6.5034306625,6.44823061075,6.63910871075,"CDK2",0.000647319035607676,6.90631968541053e-48,1.24981620759368e-154,0.0348453668763795,0.0310970215873275
8.821476684,8.812115795,8.672013806,8.6628610885,8.898626785,"CDK2",0.000135133906160569,2.53765723927895e-55,9.8560885099404e-178,0.00901968978188309,0.00778492676924089
7.878562334625,7.820961467,7.8281167725,7.63795126725,7.975159278,"CDKN1B",0.000227136060311489,2.5862420843688e-52,1.61475384300554e-169,0.0163746141036667,0.0133281435011258
8.28291706325,8.487374755,8.528993076,8.515548442,8.04659018525,"CDKN1B",0.000190383263122537,2.33655684804156e-54,2.14758448768634e-176,0.0100415737691099,0.0133281435011258
10.67793152625,10.380032085,10.44500808,10.71653107,10.74035741,"CLDN7",4.58388211543201e-05,1.98656326402232e-59,1.16937822031374e-192,0.00160574261026912,0.00153070580358817
5.914308715,6.302229258,6.378843385,6.4013263995,5.62084104125,"CTNNB1",0.00145817260338986,9.63362221821696e-47,4.54187251287147e-153,0.0355094814123048,0.0525198826086089
5.3925922405,5.3905415325,5.40104741975,5.398045379,5.372678246,"CTNNB1",0.00215878506994197,9.22577934673826e-43,8.45147558726039e-140,0.0545386722720851,0.0563239856823592
8.306684397375,8.233921799,8.419031123,8.26117443175,8.45117225725,"CTNNB1",0.000190383263122537,1.38528103679118e-53,2.35118051456629e-175,0.0119230650912549,0.0100851617291242
8.042350777625,8.112328206,8.3536002245,8.06562476475,8.14426605475,"CTNNB1",0.000220264653432623,3.16071511807914e-53,9.7048513824746e-175,0.0127428624557949,0.0133281435011258
5.867058574125,5.9133206935,5.90832524025,5.770521433,5.906230009,"CTNNB1",0.00142238254590151,4.39521474286741e-45,6.25371791905627e-147,0.0501063206877819,0.0491555670769648
5.537445620125,5.508967154,5.51722578775,5.58535502775,5.50829856825,"CTNNB1",0.00186609814325887,2.63220813070779e-43,1.67061157037484e-141,0.052447926585701,0.0530634369067713
5.526211428875,5.408461125,5.62460367675,5.50598068975,5.50447034075,"CTNNB1",0.00189551773414274,7.66549872539797e-43,4.93268542781985e-143,0.0532310707356339,0.0530634369067713
6.09840898125,6.1580920635,5.98382456675,6.0419918535,6.04530302275,"EGFR",0.00118028585345385,3.90481890223637e-46,6.13613454261913e-148,0.0438399225968184,0.0454619671272886
5.3827009295,5.316674643,5.3015627345,5.41530169225,5.3482679955,"EGFR",0.00215878506994197,2.09709663462741e-42,2.50482500397849e-138,0.0545386722720851,0.0565568656984819
5.431544562875,5.4184535975,5.331622317,5.45112743175,5.40530493775,"EGFR",0.00203535189600906,6.96668037551097e-43,8.95117892208697e-139,0.0539006382411529,0.0557264831453092
6.98719674275,6.8270608925,6.8503065165,7.00784515725,7.031576035,"EGFR",0.000496441798646651,8.78339121224127e-49,8.95814306083021e-159,0.0271159467077858,0.0263051353478002
5.791847596,5.783183278,5.6774596505,5.85155866875,5.7442923655,"ERBB2",0.00145817260338986,1.51729808194833e-44,9.00987919190699e-144,0.0476607514707934,0.0516813029809531
6.658760851375,6.510044315,6.5567735535,6.57815863725,6.6172653015,"ERBB2",0.00061262806351369,1.4045001504365e-47,2.77889924000984e-155,0.0324680295483839,0.0310970215873275
13.70785952,13.771661965,13.773529405,13.6215962625,13.8210768325,"ERBB2",1.89991276941482e-05,2.01599223505524e-66,9.072187552361e-215,0.000106454469905189,7.39436750388042e-05
6.771068242,6.5909437915,6.6145655635,6.6062194015,6.78626521375,"ERBB3",0.000593107439160803,6.90631968541053e-48,5.66440805440292e-156,0.0324680295483839,0.0298435946306371
9.65283111325,9.3936385875,9.64304615575,9.5041835425,9.77572145325,"ERBB3",9.50109304522801e-05,8.02382633490272e-57,3.89119692677867e-186,0.00605582704232806,0.00422429476241535
5.9036018065,5.69160379,5.89109474675,5.70059513075,5.846452587,"ERBB3",0.00134053438108476,3.80321781823582e-44,1.03384593631373e-146,0.0511811425952916,0.0496233964108513
5.568912056,5.682461589,5.607907814,5.54514527975,5.58038196675,"ERCC1",0.00183651464901594,4.12036898145871e-44,8.41462241929299e-143,0.052476088894314,0.0530634369067713
