"HOX424 CarboTax Day1 2","HOX424 CarboTax Day4 2","HOX424 CarboTax Day7 2","HOX424 CarboTax Day14 2","Molecule"
-0.0286733058700697,0.0227692040756211,0.0184602201247448,0.0783494651773555,"AKT1"
0,0.0142943243542621,0.0279001524187041,0,"AKT1"
0.0334011801279459,0,-0.0125938303873543,0,"AKT1"
-0.0114069578181555,0.0568803281713199,-0.0818887887109008,-0.111450401495382,"BRCA1"
0.0194759715506221,0.0163362850696398,0.0530342761339888,0.036697991064349,"BRCA1"
0,-0.0969607240008314,0.0233737392795796,0.0670935460579312,"BRCA1"
0.0163362850696398,-0.129362776177583,0.0555697706113789,0.061085905340593,"BRCA1"
-0.140752009801094,0.0258842443301495,0.114867765470944,0,"CCNB1"
0,0,0,-0.0327771808913244,"CCND1"
0,0,-0.0224327952493208,0.0327771808913244,"CDH1"
0.0137899523222673,0.0419320180267202,0.0483238599023221,-0.0281420657044529,"CDK2"
0,0.0223879073582247,0.0676719447063712,-0.0142943243542621,"CDK2"
0.034994982420268,-0.0674921691395931,0.0157584674149307,0.0447534980222124,"CDKN1B"
0,-0.100560405190239,-0.0548282747465145,-0.0657908913413254,"CDKN1B"
0,0,0.0224327952493208,0,"CLDN7"
0,0,-0.0623415657143824,-0.0383094494686032,"CTNNB1"
0.0317399039931248,0.0514059366233819,-0.0514059366233819,0.00844764846099189,"CTNNB1"
0.0701142674487318,0,0.0263559776459514,0.0290956237023954,"CTNNB1"
0.0447534980222124,0.0992098911511272,-0.0447534980222124,0.0916751356714749,"CTNNB1"
0.023125261105196,0.0681363794320307,-0.0509144169948668,0.0131605213929684,"CTNNB1"
-0.0175041855321796,0.0312325595894065,-0.0082603813550044,-0.0289316196806517,"CTNNB1"
0.0559925860290926,-0.00823859848178499,-0.0092655870503946,0.0733499626910663,"CTNNB1"
0.014641438667522,-0.0426974222700411,0.0148954622095507,0.061774242188096,"EGFR"
-0.0606715236737765,0,0.0421174031016598,0,"EGFR"
0.0503560015834448,-0.0514059366233819,0.0185541205721167,0.0112183841692652,"EGFR"
0,0,-0.0502671151905858,0.0502671151905858,"EGFR"
0.0298671779429003,-0.0242918241160166,0.0102130857453249,0.0354199776055752,"ERBB2"
0.0281420657044529,-0.0137899523222673,-0.0281420657044529,0.074312200498587,"ERBB2"
0,0,0,0,"ERBB2"
0.0323801824718668,-0.0720970763698956,-0.0147910960601485,0.0279101656218388,"ERBB3"
0.0225681391581971,0,-0.0508960572197608,0,"ERBB3"
0.0277891558896708,0.0369167587600869,0,0.0483237165782424,"ERBB3"
-0.0239577949030769,0.0461022937478304,0.0528894145837286,0,"ERCC1"
-0.00841754951009488,-0.124264379685933,0,-0.00727476468632959,"ERCC1"
0,0,0.117809019427462,-0.033930830120946,"ERCC1"
-0.0454992520335571,0.0147910960601485,0,-0.0758770014007415,"ERCC1"
0.048945795100793,0.00763082171590446,-0.0416710304144634,0.0300708509868182,"ESR1"
0,0.0838635241440255,-0.154821922200922,0.0150229961427626,"HIF1A"
-0.0163362850696398,0.0156449936535017,-0.036697991064349,0,"HIF1A"
0,-0.021037393319113,0,0,"HIF1A"
-0.018397520376261,0.0416079248094436,-0.125565868797079,-0.0290956237023954,"IGFBP3"
-0.0668685229401285,-0.0156449936535017,0,-0.0706377423523619,"IGFBP3"
-0.0426974222700411,0.0295369008770727,0.014641438667522,-0.0141829059012788,"MAPK1"
-0.0288129484650299,0.0896861627816139,0.0441869107480568,-0.074312200498587,"MAPK1"
0,-0.0163362850696398,0,-0.0373892824804871,"MAPK1"
-0.019005892099194,0,-0.0226020327102496,0,"MET"
0.0157584674149307,0,-0.0157584674149307,0,"MLH1"
0,-0.0150229961427626,0.0429331617646014,0,"MSH2"
0.0568803281713199,-0.058803762177702,0,-0.0739083781024883,"MSH2"
0,-0.0476955044822081,-0.0208073497405916,0.0142943243542621,"MSH6"
0,0,0.0283279180615637,0,"MYC"
-0.0819118423165706,0.0593437031583735,0.0702636436404052,0,"MYC"
0,0,-0.0583828904187174,-0.0162519537425387,"NCOA3"
-0.0386434786815428,0.0643720878042418,0.0543626751028348,-0.0445475804759914,"NCOA3"
-0.0131857834210081,0.0244041675902733,-0.0112183841692652,-0.0328518160512652,"PGR"
-0.0342122153481759,-0.0147335797526171,-0.0147335797526171,-0.0102130857453249,"PMS2"
0.0259425230304275,-0.0259425230304275,0.0324403673882898,0.0162519537425387,"PMS2"
-0.0218104696318138,0.0416710304144634,0,0.0488565644268677,"PMS2"
0.0442817647064104,0,0.0226020327102496,0,"PTEN"
0,0,0,0,"RPS6"
0,0,0,0,"RPS6"
-0.00933261725432866,-0.0830359809729044,-0.00912760287041614,-0.0716974558578221,"SERPINE1"
0.0156449936535017,0,0,-0.0156449936535017,"VIM"
-0.0288243445688008,0.0233737392795796,0.0141829059012788,-0.0426974222700411,"VIM"
