"OV1002 CarboTax Day1","OV1002 CarboTax Day2","OV1002 CarboTax Day4","OV1002 CarboTax Day7","OV1002 CarboTax Day14","Molecule","OV1002 CarboTax Day1 adj.p.val","OV1002 CarboTax Day2 adj.p.val","OV1002 CarboTax Day4 adj.p.val","OV1002 CarboTax Day7 adj.p.val","OV1002 CarboTax Day14 adj.p.val"
5.749731995125,5.8781915035,5.7116382125,5.7717916995,5.7342121905,"AKT1",0.00167023596383118,1.15969754187476e-10,7.60720713258943e-12,0.0519030255668028,0.0524591428109863
10.09902653525,10.055386822,10.24104606,10.28132877,10.25281712,"AKT1",9.34487446988746e-05,1.15969754187476e-10,5.20609067456087e-14,0.00230626141912496,0.00261808668101016
10.400339445,10.56184751,10.5846950225,10.6097372575,10.4164124425,"AKT1",9.34487446988746e-05,9.58928975062208e-11,7.11566380795215e-14,0.0022742169242821,0.00261808668101016
5.927067674,6.06476858825,6.1732385905,6.07291429425,5.955882579,"BRCA1",0.00148948699727796,1.86004564389625e-10,1.72779571949488e-12,0.0452987227908003,0.0488024667233265
6.533201672375,6.68571875925,6.8902248085,6.657688957,6.60180714675,"BRCA1",0.000892760255392066,1.15969754187476e-10,4.23945762407116e-13,0.0333622705617408,0.0358806226808577
5.975479927375,6.01451799975,5.9461035235,5.91237116225,6.0074974115,"BRCA1",0.00136917425837399,1.31975803040761e-10,3.53651747784074e-13,0.0498835780138456,0.0477008331923836
6.083521704,6.04389872725,6.2415382805,6.0266560325,6.05338487775,"BRCA1",0.00121278361661576,1.89365182939551e-09,6.58613010368193e-13,0.0461297616553722,0.0477008331923836
8.53176547675,8.4583731375,8.749035065,8.96560537825,8.86503904475,"CCNB1",0.000199347554734512,4.60487001032197e-10,4.28484190003504e-13,0.0051653067994868,0.00602658357950616
10.474701126,10.6143142775,10.54856719,10.583269625,10.5672929925,"CCND1",9.34487446988746e-05,1.15969754187476e-10,6.62119435300653e-14,0.0022742169242821,0.00261808668101016
10.74199968875,10.7377230275,10.6025815,10.8506550875,10.67912378,"CDH1",9.34487446988746e-05,1.15969754187476e-10,5.20609067456087e-14,0.0022742169242821,0.00261808668101016
7.25611467375,7.2142539525,7.482073217,7.737165439,7.41137562075,"CDK2",0.000408966320880552,3.91937877377543e-10,1.00829144406124e-12,0.0151489384613452,0.0180011066548209
9.8524534605,10.05028375175,10.2551231975,10.338477615,9.9306085155,"CDK2",9.34487446988746e-05,4.97608552949422e-11,4.81871629969741e-14,0.00230626141912496,0.00261808668101016
7.5083010595,7.5377276475,7.583378289,7.815644956,7.598979284,"CDKN1B",0.000364944466977227,1.15969754187476e-10,4.53858182913406e-13,0.0144977403576625,0.0166693910448768
7.6496299675,7.5415680295,7.6858464405,7.2837293465,7.614245537,"CDKN1B",0.000327035888498688,3.4710722680934e-10,2.87067358561483e-12,0.0196730377192503,0.0166693910448768
10.12044445325,10.006396247,10.0568612355,10.09681445,10.093987769,"CLDN7",9.34487446988746e-05,6.82246899176281e-11,5.90264984027752e-14,0.00244883413164689,0.00261808668101016
5.562461342125,5.518597788,5.40604417175,5.4607727135,5.5598253855,"CTNNB1",0.001881667539321,1.30095091436053e-10,6.69632991678947e-12,0.0562784508689755,0.0540222330912927
5.388218113375,5.3628855335,5.498482095,5.31822102475,5.427673267,"CTNNB1",0.00216123867904809,1.31975803040761e-10,5.60931536782645e-13,0.0582369068843924,0.0562929560732793
7.659633649,7.70004577125,7.49896860075,7.87381959225,7.7188551,"CTNNB1",0.000346466157919546,9.58928975062208e-11,6.02977888009389e-13,0.0142006042748714,0.0160953458193156
7.427105782375,7.571172606,7.3536149745,7.6194435885,7.54433080475,"CTNNB1",0.000378453195362813,1.15969754187476e-10,2.25988040880036e-13,0.0165201251239187,0.0170248510515167
5.81708316625,5.760243121,5.87284656575,5.78153028575,5.82675240425,"CTNNB1",0.00159122011271213,1.15969754187476e-10,4.4949485767341e-13,0.0519030255668028,0.0524591428109863
5.523512388375,5.47469036325,5.5534288985,5.56956278375,5.4953733035,"CTNNB1",0.001881667539321,1.45804224265176e-09,5.95704294611647e-13,0.0541825547624226,0.0550534432816825
5.5502624085,5.47376908275,5.60007028575,5.56018662425,5.574637107,"CTNNB1",0.001881667539321,3.18123488502097e-10,6.02977888009389e-13,0.0541825547624226,0.0540222330912927
6.057201745,6.02553415775,6.0626485045,6.12597676575,6.013831027,"EGFR",0.00136138268946967,3.389777096664e-10,4.53858182913406e-13,0.0442252467277257,0.0477008331923836
5.38400067875,5.41697137075,5.42411241775,5.32647645525,5.38181674125,"EGFR",0.00216123867904809,3.17662250519057e-10,1.15214029274721e-12,0.0582369068843924,0.0574944734042922
5.33193347575,5.470163756,5.3798635305,5.45165609875,5.29177018125,"EGFR",0.00228596527434273,1.29573749125669e-10,6.02977888009389e-13,0.0562784508689755,0.0608510294246735
6.085419447375,6.2540778825,6.10736252725,6.23434830175,6.01318972025,"EGFR",0.00134434828631521,4.60487001032197e-10,6.02977888009389e-13,0.0410748153124408,0.0477008331923836
5.564204032625,5.62296728875,5.548759097,5.5084795555,5.58304548175,"ERBB2",0.001881667539321,3.01190537222195e-10,1.4508879694578e-12,0.0555767002654295,0.0540222330912927
5.294452089375,5.35953546775,5.3135615165,5.3102076715,5.218331087,"ERBB2",0.00232625121572822,1.86004564389625e-10,8.09630659491724e-13,0.0582369068843924,0.0635201372134102
9.94256864375,9.67296836325,9.6936664705,9.86662952525,9.99864711675,"ERBB2",9.34487446988746e-05,1.15969754187476e-10,5.20609067456087e-14,0.00271597696127602,0.00261808668101016
