"OV1002 CarboTax Day1","OV1002 CarboTax Day2","OV1002 CarboTax Day4","OV1002 CarboTax Day7","OV1002 CarboTax Day14","Molecule","OV1002 CarboTax Day1 adj.p.val","OV1002 CarboTax Day2 adj.p.val","OV1002 CarboTax Day4 adj.p.val","OV1002 CarboTax Day7 adj.p.val","OV1002 CarboTax Day14 adj.p.val"
2.52860797174733,2.56655282633293,2.53547739808852,2.54681198377341,2.53266523101418,"AKT1",0.000480158137697448,1.15155181177717e-09,9.55855724362241e-08,0.0270034654481885,0.026772500271761
3.29410846947345,3.28818655337579,3.3394140874107,3.33578940797041,3.32874126443224,"AKT1",2.79620042939188e-05,3.92107947629311e-08,6.02270316951408e-08,0.0160117072015941,0.0153174962860839
3.39710965732467,3.39790586220581,3.43276743651497,3.41942255740897,3.38859925127554,"AKT1",2.51110061085964e-05,7.45665922303686e-08,2.10941749777783e-07,0.0160117072015941,0.0153174962860839
2.58121065956232,2.62376988485864,2.64721730337715,2.61168891988306,2.59843620495475,"BRCA1",0.000410810201177705,2.42691230534138e-08,2.23344154135647e-07,0.0262064392584299,0.0259576193215152
2.72877392444618,2.72845316316256,2.77578066396386,2.75070218090317,2.73285043476549,"BRCA1",0.000240623896512507,5.66025827628031e-09,1.72568691106962e-08,0.0234354870026952,0.0238893148858653
2.60083333488908,2.59337474296921,2.58971438330232,2.57570597513183,2.61760363105416,"BRCA1",0.000377835735902063,3.66588405452433e-09,1.86667198180714e-09,0.0270034654481885,0.0259576193215152
2.63496362714074,2.60681835926709,2.6522492391214,2.60098950942641,2.62717093142645,"BRCA1",0.000335176511768921,6.97610769940582e-08,4.21263215784383e-08,0.0262881334566382,0.0259576193215152
3.0556350302944,3.06812228374755,3.09223984502122,3.13025082908394,3.08832537644127,"CCNB1",6.16532430899567e-05,5.92550235564939e-09,1.12307449089788e-08,0.0160117072015941,0.0180036888999805
3.42122921870334,3.4749817469965,3.45281035101507,3.41122826218614,3.45539644742557,"CCND1",2.51110061085964e-05,1.85155272541596e-07,7.59050712159228e-08,0.0160117072015941,0.0153174962860839
3.52475813104826,3.45281035101507,3.48878424103166,3.55253772584203,3.52475813104826,"CDH1",1.72277096951428e-05,7.45665922303686e-08,9.6099358373599e-08,0.0160117072015941,0.0153174962860839
2.84627330850574,2.82151319238493,2.90527854173154,2.94476422534821,2.86622155941772,"CDK2",0.00013161978004667,7.14715176280926e-09,6.01162069091726e-08,0.0191960628952628,0.0197112495862696
3.25036345168831,3.2780146479099,3.35697847415517,3.33753394533046,3.27359787479647,"CDK2",2.80169555805696e-05,3.66588405452433e-09,8.67309697951198e-08,0.0160117072015941,0.0153174962860839
2.88820844608463,2.88355356760418,2.91803237223567,2.9543543503795,2.89720280179287,"CDKN1B",0.000120136371836652,7.14715176280926e-09,2.24020373100059e-08,0.0191960628952628,0.0196758492131633
2.9290898289169,2.89216442711172,2.92347856186323,2.83109719765404,2.91782805368567,"CDKN1B",9.78043432250741e-05,6.36279397870402e-08,9.80485226073418e-08,0.0202489964190909,0.0196758492131633
3.30951986464634,3.29324950178205,3.27486619031306,3.27281281047475,3.29029846486044,"CLDN7",2.79620042939188e-05,8.69737829278983e-08,5.11615367211493e-09,0.0160117072015941,0.0153174962860839
2.48114784316027,2.47020391012212,2.45250237891872,2.46280059163824,2.47966862033657,"CTNNB1",0.00056729124553271,3.66588405452433e-09,1.15813356393995e-07,0.0274656456754265,0.0271231741607573
2.42970698110902,2.42727975596447,2.46577560124427,2.42068686425397,2.4394291690422,"CTNNB1",0.000661170755095167,8.45253619038262e-10,8.64872492459461e-09,0.0277145551581208,0.0278409428227369
2.93402992346829,2.93601547974314,2.90217914948923,2.982253822792,2.94001275232341,"CTNNB1",9.78043432250741e-05,2.98265750640238e-09,7.99530090791671e-08,0.0191960628952628,0.0196502463099999
2.88173959585667,2.90513969122687,2.87046782142472,2.89250663175924,2.8929008882243,"CTNNB1",0.000120136371836652,3.37018524202089e-08,3.97132494597701e-09,0.020142103508021,0.0196758492131633
2.55198715577473,2.53371914090171,2.56302813813522,2.54137990861838,2.55389922865664,"CTNNB1",0.00046010222734844,6.28044309212933e-09,1.34218443607709e-08,0.0270034654481885,0.026772500271761
2.46708768505093,2.46036686508601,2.47978127248927,2.48998177657053,2.4596745593467,"CTNNB1",0.000573029615928049,9.44415486048304e-08,3.35152401939039e-09,0.0270034654481885,0.0274598397619724
2.47034561404647,2.45294299047426,2.48953289251172,2.4852786276543,2.47990670861236,"CTNNB1",0.000573029615928049,2.58627184752499e-08,1.51629944417662e-08,0.0270034654481885,0.0271231741607573
2.61941426418362,2.60785042113911,2.62344706587406,2.63353716449031,2.5969092095646,"EGFR",0.000349430678790813,7.14715176280926e-09,2.1472760384428e-08,0.025431293448972,0.0259576193215152
2.43354140196156,2.44099696884971,2.43927741905349,2.42925544482774,2.42840796845385,"EGFR",0.000658934316548969,7.14715176280926e-09,1.9432187267712e-08,0.0276027262461056,0.0281001524109734
2.42561111953881,2.45590236600817,2.4317044143091,2.45962768046614,2.41632631212547,"EGFR",0.000664457727497952,3.66588405452433e-09,3.6930365369246e-09,0.0274656456754265,0.0284360875344671
2.63132841540272,2.65384435056436,2.64254630029467,2.65136901840531,2.60895431112266,"EGFR",0.000335176511768921,4.89839498859092e-08,3.12003136966136e-08,0.024972385604468,0.0259576193215152
2.47906251565484,2.49581256054861,2.47294919188551,2.48159523271615,2.48375036363337,"ERBB2",0.00056729124553271,2.16525310657342e-08,1.16530477170508e-07,0.0270034654481885,0.0271231741607573
