"HOX424 Control Day1 1","HOX424 Control Day7 1","HOX424 Control Day14 1","Molecule"
-0.137495078083517,-0.151001443557606,-0.00379524985395829,"AKT1"
0.0572545569032923,0.065045434506473,-0.057334549277525,"AKT1"
0.0866215979212892,0.0299340816317908,-0.0368187561613844,"AKT1"
0.0253129053033345,0.103222548693535,-0.0225220438689593,"BRCA1"
0.0148647512157588,0.0352356075878211,-0.12717078983488,"BRCA1"
0.165168145368817,0.110633066301607,0.0330657480009338,"BRCA1"
-0.216981479766308,-0.0866985252186236,0.0851882284829844,"BRCA1"
0.103446294377243,0.0176154683945406,-0.111588568912514,"CCNB1"
-0.0497019807683734,0.0446657498925382,0.084780354866441,"CCND1"
-0.0494208893361519,0.024673573067411,0.0478490808149932,"CDH1"
0.0424083430280069,0.0868344282096314,-0.0970696393846683,"CDK2"
-0.00571061487957225,0.0520967498540299,-0.0827137161995743,"CDK2"
-0.00554473779805043,0.187379459779343,-0.0225093295654071,"CDKN1B"
0.0247519372092331,0.147379803044575,0.0130824770568663,"CDKN1B"
-0.0517503046619097,0.0116606640945123,0.0401840482162836,"CLDN7"
-0.0155649519330332,0.270726025963899,0.0701287566241591,"CTNNB1"
0.163438817058306,0.00854997269310748,-0.19583070782581,"CTNNB1"
0.0235982417863905,-0.0584797531810139,-0.0713800297567204,"CTNNB1"
-0.00437451542264222,-0.0828290764819948,-0.075231778192417,"CTNNB1"
-0.0758915339203757,0.352678123404234,0.0256855911050625,"CTNNB1"
-0.0420823149945223,0.0488692683311625,-0.097659214281629,"CTNNB1"
0.153362750693094,0.274110058953418,-0.0161686248563248,"CTNNB1"
0.189663409974992,0.289982150746616,-0.150744427808308,"EGFR"
-0.0338680212461538,0.0158537824137752,0.0267524483167957,"EGFR"
-0.0136995599255431,0.0476613961460586,-0.0118542563413994,"EGFR"
-0.0916627451593353,-0.0469643148135344,-0.0244465037372154,"EGFR"
0.053770227675575,0.224663649406843,-0.0607408113631532,"ERBB2"
-0.192903169508872,0.0530773694751852,0.024617856376787,"ERBB2"
-0.0245635318632673,-0.00277568913459869,0.0277133864977448,"ERBB2"
0.010856992201122,0.180068958157562,-0.0113988805313762,"ERBB3"
0.0140713715750378,0.064919223399728,0.011165819310911,"ERBB3"
-0.0134653828665474,0.0703641016348227,-0.0179192388193178,"ERBB3"
-0.0510088868355021,0.056935404746574,0.0324847018799602,"ERCC1"
0.0939163432620025,0.0833153530150964,0.0197449526437625,"ERCC1"
-0.0103277808140102,0.167803364601794,-0.017141861032975,"ERCC1"
-0.0267130267809296,0.0645346117391374,-0.124248060665922,"ERCC1"
-0.212647772206068,0.0626269755582398,0.148977982082885,"ESR1"
0.0662449667311127,-0.0171930519164124,-0.215290161581481,"HIF1A"
0.0547814398017618,0.0420272342817066,-0.127165285153281,"HIF1A"
0.0736308463912274,0.0892371035807886,-0.100615915636639,"HIF1A"
-0.18456121554436,-0.255219583818016,0.481133243238102,"IGFBP3"
-0.24866869647929,-0.250807016390888,0.558451664868695,"IGFBP3"
-0.208299669588778,-0.152649815643669,0.239036560185299,"MAPK1"
-0.0193579469129496,-0.14216115317525,0.0514266701227749,"MAPK1"
0.0481081315305033,0.0166139381105223,-0.129183944071643,"MAPK1"
0.00590102590138475,-0.0959545929559027,0.00995857650452092,"MET"
0.00732565474805758,-0.0938586586137384,-0.0353727362625438,"MLH1"
0.0672686527945475,0.0113995309714261,-0.0554567967685978,"MSH2"
0.045677880795463,0.125053921943023,-0.0131093206879151,"MSH2"
0.0419388469510353,0.0121374137667591,-0.0120973594820108,"MSH6"
0.0851106935406998,-0.0678858787179109,-0.0984695409601151,"MYC"
0.0765718259834136,-0.175519745007784,-0.0333742878518486,"MYC"
-0.0452891800997985,0.0311703241920109,0.0176647015735369,"NCOA3"
0.0795048829749335,0.167107202986655,-0.231550422210485,"NCOA3"
-0.0886016940008751,-0.0134681370858569,0.158270918745952,"PGR"
0.00937099105455053,-0.103835983652416,-0.0112067031589604,"PMS2"
0.032236360005635,-0.0293150450521855,-0.0127064909452259,"PMS2"
0.0130126730530661,-0.0690843549420407,0.0335673748637941,"PMS2"
0.043798691281397,0.0347874346252057,-0.0298829101753275,"PTEN"
-0.0257041164513057,-0.0065615206649523,0.0314064215387506,"RPS6"
-0.0292155787705299,-0.0082238288403027,0.0314685151279965,"RPS6"
0.0567732564431677,-0.116723904139553,-0.112982722056201,"SERPINE1"
0.0185653320778882,0.0772777328309062,-0.0597675756229099,"VIM"
-0.0487280358650531,-0.00799611980208309,0.0983674619128444,"VIM"
