"HOX424 Control Day1 1","HOX424 Control Day7 1","HOX424 Control Day14 1","Molecule"
-0.0532409172224799,-0.102641289293372,0.0131605213929684,"AKT1"
0.0268881547416164,0.0385363534177818,-0.0268881547416164,"AKT1"
0.0208073497405916,0.055969319286143,-0.0208073497405916,"AKT1"
0,0.0307477785751828,0.0102132178866112,"BRCA1"
0,0,-0.0210529974108473,"BRCA1"
0.0496761593072859,0.0280559836025192,0.0184602201247448,"BRCA1"
-0.173549686925639,-0.105046973989191,0.129362776177583,"BRCA1"
0.0484862770403991,0.0484862770403991,-0.0668837974166601,"CCNB1"
0,0,0.0552099761406453,"CCND1"
0,0,0,"CDH1"
0.0473185695716198,0.0147910960601485,-0.0335286172493525,"CDK2"
0,0.0223879073582247,-0.0807707977769421,"CDK2"
0,0.0702294213858208,-0.015989090321074,"CDKN1B"
0,0.137786212155103,0.021037393319113,"CDKN1B"
0,0,-0.0552099761406453,"CLDN7"
-0.0295369008770727,0.18971507510848,0.014641438667522,"CTNNB1"
0.0514059366233819,-0.0317399039931248,-0.0606715236737765,"CTNNB1"
0,-0.0490768741296188,-0.0701142674487318,"CTNNB1"
-0.0258842443301495,-0.021037393319113,-0.0657908913413254,"CTNNB1"
-0.0242918241160166,0.155637312243439,0,"CTNNB1"
-0.0177132355113865,0.025764566887184,-0.0383094494686032,"CTNNB1"
0.0636234077449971,0.0714489776834384,0.00844764846099189,"CTNNB1"
0.0818887887109008,0.100043443677226,-0.0670935460579312,"EGFR"
-0.0112183841692652,0,0.0112183841692652,"EGFR"
0,0.0514059366233819,0,"EGFR"
-0.033930830120946,-0.139447959917895,0.0152030653962281,"EGFR"
0.0154944393892915,0.0529651299860863,-0.023125261105196,"ERBB2"
-0.11922987989047,-0.0758770014007415,0.0429331617646014,"ERBB2"
0,0,0,"ERBB2"
0.033930830120946,0.0889960709624318,0.0651357594193076,"ERBB3"
0.0283279180615637,0,0,"ERBB3"
-0.023125261105196,0,0.00763082171590446,"ERBB3"
-0.0218104696318138,0.0147335797526171,0.00707688987919664,"ERCC1"
0.0386434786815428,0,0.0157191964212919,"ERCC1"
-0.0175890864117183,0.0651357594193076,0.0175890864117183,"ERCC1"
0,0,-0.0758770014007415,"ERCC1"
-0.0821469765842733,0.0239577949030769,0.0656479967474839,"ESR1"
0.074312200498587,-0.0838635241440255,-0.173378790038841,"HIF1A"
0,0,-0.0156449936535017,"HIF1A"
0.0964702450946833,0.114867765470944,-0.125565868797079,"HIF1A"
-0.126491714120673,-0.208423954507465,0.334915668628138,"IGFBP3"
-0.206336666574021,-0.101878779836928,0.380147876440851,"IGFBP3"
-0.0670935460579312,-0.0827778180995526,0.0876281067465028,"MAPK1"
0.0441869107480568,-0.0585150494313211,0,"MAPK1"
0.0403667052151508,-0.0315393504658679,-0.0216389404904329,"MAPK1"
0,-0.0317475577360047,-0.019005892099194,"MET"
0,-0.0352344389655528,-0.0157584674149307,"MLH1"
0.0889960709624318,-0.0181546549663256,-0.0131190695616903,"MSH2"
0.0288243445688008,-0.0141829059012788,-0.014641438667522,"MSH2"
0.0583828904187174,-0.0125938303873543,-0.0324403673882898,"MSH6"
0.0225681391581971,-0.0225681391581971,-0.0508960572197608,"MYC"
0.0839238984489099,-0.114171977904888,-0.0514835310606201,"MYC"
-0.0324403673882898,0.0324403673882898,0.0162519537425387,"NCOA3"
0.0354199776055752,0.0461192222128175,-0.0793282775737265,"NCOA3"
-0.0317399039931248,0,0.0317399039931248,"PGR"
0.00745881506628754,-0.0543578206946025,-0.00745881506628754,"PMS2"
0.0279001524187041,0,-0.0279001524187041,"PMS2"
0,-0.0528894145837286,0.0175041855321796,"PMS2"
-0.0226020327102496,0.0442817647064104,-0.0258842443301495,"PTEN"
0,0,0,"RPS6"
0,0,0,"RPS6"
0.0184602201247448,-0.0645757608481596,-0.0184602201247448,"SERPINE1"
0,0.0317475577360047,-0.0194759715506221,"VIM"
-0.0137899523222673,-0.0439082999681513,0.0473185695716198,"VIM"
