"OV1002 Control Day1","OV1002 Control Day7","OV1002 Control Day14","Molecule"
0.058803762177702,-0.0233737392795796,-0.094822716963018,"AKT1"
-0.129442269711408,0.0508960572197608,-0.0283279180615637,"AKT1"
-0.166328355315714,-0.0552099761406453,0.0327771808913244,"AKT1"
0.0289781485542484,0,-0.0102132178866112,"BRCA1"
0.0454992520335571,0.0147910960601485,-0.0454992520335571,"BRCA1"
0.0114069578181555,0.0233737392795796,-0.0585150494313211,"BRCA1"
-0.0280559836025192,-0.0329498976192952,0.0288243445688008,"BRCA1"
0,0,0,"CCNB1"
-0.0801716580003764,0.0801716580003764,-0.0327771808913244,"CCND1"
0,0,0,"CDH1"
0,0.0403667052151508,0.0713201126014331,"CDK2"
-0.11435220970486,0,0.0125938303873543,"CDK2"
0,0.0351209652041238,-0.0210529974108473,"CDKN1B"
0,-0.106441077805557,-0.0352344389655528,"CDKN1B"
-0.0508960572197608,0.0125938303873543,0.0508960572197608,"CLDN7"
0.0239577949030769,-0.0342122153481759,0.0302280191419086,"CTNNB1"
-0.00844764846099189,0.0660751980047367,0.0177132355113865,"CTNNB1"
-0.019005892099194,0.0575970151305176,0.0507534498351987,"CTNNB1"
-0.0156449936535017,0.12326369751981,0.087713313080839,"CTNNB1"
0.0184565386353421,0.0277891558896708,0.0216201757047667,"CTNNB1"
0.0289316196806517,0.046726998978698,0.0475750365189977,"CTNNB1"
-0.0300708509868182,0.0475750365189977,-0.0143516545655262,"CTNNB1"
-0.0483238599023221,0.0147952426529696,0,"EGFR"
0.0328518160512652,-0.0317399039931248,-0.0371702181624367,"EGFR"
-0.0112183841692652,0.0229939611076215,-0.0606715236737765,"EGFR"
0.077136808367352,-0.0289781485542484,0,"EGFR"
-0.0147335797526171,-0.0804268525702629,0.0328518160512652,"ERBB2"
-0.0771705035105659,-0.0112183841692652,0.0185541205721167,"ERBB2"
-0.0593437031583735,0.0259425230304275,-0.0125938303873543,"ERBB2"
-0.0762967181258682,0.047132803520574,0.0147952426529696,"ERBB3"
-0.0547883071603206,0,0,"ERBB3"
0.102097481649348,0.0260873603512466,0.0184565386353421,"ERBB3"
-0.0661677561807581,0.0502934815748364,0.0184602201247448,"ERCC1"
-0.0896861627816139,-0.0150229961427626,0.074312200498587,"ERCC1"
0,0,-0.018397520376261,"ERCC1"
0,0.0706377423523619,0.0447534980222124,"ERCC1"
-0.0385763210039758,-0.16797862312919,0.0664764734226799,"ESR1"
-0.0567231140868687,-0.0454992520335571,-0.0137899523222673,"HIF1A"
0.0216389404904329,-0.0216389404904329,0,"HIF1A"
0.0869651062549348,-0.036697991064349,-0.119460870816844,"HIF1A"
0.322658779768738,0.0433754888987887,-0.222806897875704,"IGFBP3"
0.16583574076548,0.0676719447063712,-0.0514835310606201,"IGFBP3"
0.00763082171590446,0,-0.0229939611076215,"MAPK1"
0.0573059803097471,0.0605222481763197,-0.0429331617646014,"MAPK1"
0.0147910960601485,0.0419320180267202,0.0131190695616903,"MAPK1"
-0.0719060556810187,0.0152030653962281,-0.0502671151905858,"MET"
0,-0.019005892099194,-0.034994982420268,"MLH1"
0.0473185695716198,-0.0567231140868687,0.0147910960601485,"MSH2"
-0.0400802636882251,-0.0277891558896708,0.0382692014891304,"MSH2"
0,-0.136740117063085,0.0476955044822081,"MSH6"
-0.0514835310606201,-0.0290956237023954,0.0676719447063712,"MYC"
-0.0373892824804871,-0.101878779836928,0,"MYC"
0,-0.0263559776459514,-0.0263559776459514,"NCOA3"
-0.0242918241160166,-0.0102130857453249,-0.00824345289001727,"NCOA3"
0.0185541205721167,0.0606715236737765,0.0112183841692652,"PGR"
0.0184602201247448,-0.00745881506628754,0.0354199776055752,"PMS2"
0.0163362850696398,0.0210529974108473,0.104257805420616,"PMS2"
0.0229939611076215,-0.0404981466398011,-0.00745881506628754,"PMS2"
0.019005892099194,-0.0512235292866268,-0.0530342761339888,"PTEN"
0,0,0,"RPS6"
0,0,0,"RPS6"
-0.0439082999681513,-0.104656156677671,-0.0195457029996535,"SERPINE1"
0.190411418378511,0.0327771808913244,0.0860667808126192,"VIM"
0.0664764734226799,0.0755956569009122,-0.0161884136457511,"VIM"
