"OV1002 CarboTax Day1 2","OV1002 CarboTax Day2 2","OV1002 CarboTax Day4 2","OV1002 CarboTax Day7 2","OV1002 CarboTax Day14 2","Molecule"
2.4801691705482,2.55889291291797,2.54748595509981,2.51056919633973,2.6259864589759,"AKT1"
3.32847050777526,3.2775744505555,3.38620937052632,3.2775744505555,3.38620937052632,"AKT1"
3.38620937052632,3.40864216577564,3.55253772584203,3.38620937052632,3.40864216577564,"AKT1"
2.54748595509981,2.61180355307462,2.68810027120049,2.61180355307462,2.58226665219755,"BRCA1"
2.73103343296509,2.73103343296509,2.79211933830568,2.73103343296509,2.74862251937681,"BRCA1"
2.55889291291797,2.58226665219755,2.58226665219755,2.6259864589759,2.64078170162887,"BRCA1"
2.5971621144071,2.67431031887822,2.6259864589759,2.58226665219755,2.6589363565952,"BRCA1"
2.99355483914712,3.0852299748186,3.0852299748186,3.06419258149948,3.0852299748186,"CCNB1"
3.44141934666696,3.55253772584203,3.44141934666696,3.40864216577564,3.44141934666696,"CCND1"
3.55253772584203,3.44141934666696,3.40864216577564,3.55253772584203,3.55253772584203,"CDH1"
2.8640253939867,2.83248604352084,2.83248604352084,2.92019935660167,2.83248604352084,"CDK2"
3.24417327042755,3.3001425897137,3.3001425897137,3.3001425897137,3.2775744505555,"CDK2"
2.83248604352084,2.90072338505105,2.92019935660167,2.99355483914712,2.90072338505105,"CDKN1B"
2.84768910891706,2.92019935660167,2.95194691433768,2.9359578240166,2.97095280643687,"CDKN1B"
3.3001425897137,3.38620937052632,3.2775744505555,3.25676710081491,3.32847050777526,"CLDN7"
2.49452082511373,2.48744393523453,2.52902573497507,2.43849814013374,2.51056919633973,"CTNNB1"
2.39553985197135,2.42727975596447,2.43849814013374,2.41409397254346,2.42727975596447,"CTNNB1"
2.97095280643687,2.9359578240166,2.88507839139755,2.97095280643687,2.92019935660167,"CTNNB1"
2.90072338505105,2.84768910891706,2.84768910891706,2.88507839139755,2.88507839139755,"CTNNB1"
2.56910613080458,2.51881264922974,2.5383583522294,2.56910613080458,2.54748595509981,"CTNNB1"
2.51056919633973,2.4801691705482,2.48744393523453,2.49452082511373,2.48744393523453,"CTNNB1"
