"OV1002 CarboTax Day1","OV1002 CarboTax Day2","OV1002 CarboTax Day4","OV1002 CarboTax Day7","OV1002 CarboTax Day14","Molecule"
0.0710233434549432,0.42455070002172,0.0901036088380099,-0.0072567205053935,-0.154533021032689,"AKT1"
-0.0738973404055994,1.83991150347697,0.115619676690008,0.0290837567302151,-0.0692365534832198,"AKT1"
-0.0424974585968629,1.89807583995932,0.0412251009517703,-0.00153371090418197,-0.0469544808437645,"AKT1"
-0.130724334752919,0.452268131493237,0.151238303609177,-0.052070277435165,-0.0922531685374935,"BRCA1"
0.0294700463688808,0.723862972437303,0.233029515354207,0.0246556733920125,-0.0516302722643772,"BRCA1"
0.156771285515853,0.450680758485934,0.0470321600506071,-0.0699876017649464,0.209123263129973,"BRCA1"
-0.0320823389378029,0.457060651590524,0.0814944605879754,0.19006232485548,-0.0416482276994887,"BRCA1"
-0.303113436463865,1.31972206629808,-0.0166330520102784,0.197960566488492,0.0909564246723455,"CCNB1"
-0.181905545015763,1.88285370421346,-0.00838575128560159,-0.0344417001958148,0.00556934730114156,"CCND1"
-0.0452183811593245,1.98280893070069,-0.0125490350875044,0.101862486548104,0.0072935857380052,"CDH1"
-0.0904758771991193,1.06826324312777,0.065838518383778,0.308936038848886,-0.162739396091519,"CDK2"
-0.170288433680042,1.8009415386074,0.0920170718935784,0.105371221253726,-0.0795755223195409,"CDK2"
0.0566707155083401,1.12460793698302,0.168406237379833,0.105518405224623,-0.0283986739460824,"CDKN1B"
0.162513844133976,1.10754523873306,0.225741872682417,0.0822980603203939,0.289614823585763,"CDKN1B"
0.0187553645530771,1.77422006820478,0.0310298345997044,0.0163023719340019,-0.0588590461234491,"CLDN7"
0.0643984178512891,0.148825003715554,-0.0562834895246773,-0.0243066830247839,-0.115464606764948,"CTNNB1"
-0.0459686825282214,0.0453890355867307,0.066025396752036,0.0414295020509513,0.0188728233739881,"CTNNB1"
-0.0892038313564318,1.21184706678011,-0.121546702825719,0.0620764687033375,-0.0416266349808478,"CTNNB1"
-0.178669044481706,1.15581867662719,-0.0434039473603671,-0.0369114459826543,-0.0753938387934192,"CTNNB1"
0.087485179731612,0.357723999391882,0.107850241701597,0.0188850545975276,0.0562969893188071,"CTNNB1"
-0.130325156487962,0.327108203227894,-0.0133132081295906,0.395335110495089,-0.169562961860763,"CTNNB1"
-0.207300215032649,0.0156146559767895,-0.0478424225778635,-0.097208819944642,0.178900431962225,"CTNNB1"
-0.00839886771013465,0.459615887102215,-0.0287576422546042,0.104549262760881,0.0750750293921114,"EGFR"
0.0394417127775227,0.111973928733303,-0.0183770454693466,0.00549774821661611,0.144314548631761,"EGFR"
-0.0257081366327085,0.176583050106047,0.109088171177114,0.0544874304431325,-0.193886752804177,"EGFR"
0.0754071482723545,0.541310778576944,-0.0807870270281719,0.135316191546802,0.14631655185801,"EGFR"
-0.0313154802427669,0.320028475863867,0.0881821954847151,-0.154927007999137,0.0446467556810658,"ERBB2"
0.14704261838338,-0.0533748613364819,-0.024438530838218,-0.0514620322213872,0.0810633834176697,"ERBB2"
0.0214940112242177,1.75975349359476,-0.0517756106992124,0.0996643069315808,-0.0405150966774268,"ERBB2"
0.251145845360271,0.603011359314631,-0.125861286988506,0.122227080019586,-0.159269024952035,"ERBB3"
0.112658091163659,1.76604473187617,0.00861686555203423,0.0589801649267176,-0.0697785830926292,"ERBB3"
-0.0602194614482165,0.23537376729872,-0.0394918213664218,0.125796782062376,-0.0266741069296433,"ERBB3"
-0.0591194195884862,0.379458630062954,-0.152989919575374,-0.0816185971839767,-0.0399435642047921,"ERCC1"
-0.127678139817067,0.563228166987625,-0.0407904336320231,-0.228726025125114,-0.166728807233787,"ERCC1"
0.169513486444316,1.31294297070512,0.0338174302448102,0.008271183726003,-0.0380844827262667,"ERCC1"
0.177561161515502,1.33537266460994,0.0347586553963157,-0.0320175910265108,0.0464790102157817,"ERCC1"
0.0726898113747709,1.75940346561579,-0.00553535469666055,0.00576650655405686,0.0814758227442982,"ESR1"
-0.112130470498094,0.668423153795239,-0.0401504931050211,-0.114333783147393,0.0161650382844665,"HIF1A"
-0.224975993350505,0.9203817990211,-0.0219466156598304,-0.0445460672771658,0.0541513474643934,"HIF1A"
-0.0232717141122527,1.05186628888113,-0.0453961875053301,-0.103884304328508,0.181892994166027,"HIF1A"
0.10841067865581,1.53109084192746,-0.240707995575485,0.00704227954269432,0.0400593287394819,"IGFBP3"
0.135769793144971,1.29767660368463,-0.105430916533407,-0.0836433458838308,-0.0127683460432324,"IGFBP3"
0.0538038167686468,0.335432909250844,-0.0134428025161333,-0.0597595323388557,0.128950234941735,"MAPK1"
0.0408333920457618,0.643072503931252,-0.0737636714909682,0.0838529581052175,-0.171088481502044,"MAPK1"
0.0914970270745665,0.702458688796752,0.0371136378494903,-0.020112131490139,-0.0508747368144727,"MAPK1"
-0.122398441722951,0.934720076012647,-0.0939102842309449,0.142133958949437,0.00347449159983504,"MET"
0.0693395917002786,1.22685951302402,0.0645116228761391,0.0675587031758524,-0.0950281049152433,"MLH1"
0.0169146870343527,0.61775858376467,0.13785931450106,-0.0528705912890721,0.044409661786824,"MSH2"
0.0235291725876543,0.416242285417155,-0.0884104073910582,-0.208096714428009,0.0920727942269955,"MSH2"
-0.0420732565187898,1.81498002737475,0.0351918514999967,0.0229161890889349,0.080478787836707,"MSH6"
-0.179733375317398,1.75398137534298,0.0638144341141569,-0.168714605821029,-0.144303287690736,"MYC"
-0.151177866240589,1.37965081471415,-0.0213731538744297,-0.381818966223245,0.177453082729079,"MYC"
