"HOX424 CarboTax Day1","HOX424 CarboTax Day2","HOX424 CarboTax Day4","HOX424 CarboTax Day7","HOX424 CarboTax Day14","Molecule","HOX424 CarboTax Day1 adj.p.val","HOX424 CarboTax Day2 adj.p.val","HOX424 CarboTax Day4 adj.p.val","HOX424 CarboTax Day7 adj.p.val","HOX424 CarboTax Day14 adj.p.val"
5.818343575125,-0.00847076262499602,-0.0427721407500012,0.13659799225,-0.0845911352500002,"AKT1",0.00145817260338986,1.16747176135676e-44,5.09483867181413e-145,0.0471147658060872,0.0497750977402841
9.039813355,0.0518224304999997,-0.0118816664999954,-0.176635666000003,0.2589017355,"AKT1",0.000135133906160569,4.54910715589888e-56,2.46364841034848e-181,0.00847532979387299,0.00734481634458408
9.270563689625,-0.0731485446250009,-0.0957340637499993,0.0737406764999999,0.0451573712499993,"AKT1",0.000125648036246436,2.4195508940739e-56,1.7332524151712e-181,0.00772463272193536,0.00734481634458408
6.049057850375,-0.144337021375001,0.15023971125,-0.089283696249999,0.1181842705,"BRCA1",0.00121559381701185,4.70271852834136e-45,7.09405975122223e-149,0.0458977664645089,0.0454619671272886
7.253925501375,0.337187898125,-0.394360094999999,-0.0702340850000009,0.0173784379999997,"BRCA1",0.00037397779546763,1.53322446611373e-51,9.65015444459795e-163,0.0249135302303674,0.0251799169934281
5.98881716325,-0.133546276250001,0.0967051192500028,0.098263739750001,-0.0635767377500009,"BRCA1",0.00134053438108476,7.70529954510706e-45,1.62246602129744e-147,0.0438399225968184,0.0468214348342039
6.822326242375,0.223649943124999,-0.27161409275,0.0672151780000005,-0.181573018499998,"BRCA1",0.000545219256901259,1.36633919313798e-49,7.03471269996438e-158,0.0299390114990831,0.0310970215873275
7.92540963,0.259675032999999,-0.0101611052499955,-0.106007463750004,-0.217450298499998,"CCNB1",0.000237026312180691,1.90385509918662e-53,5.19318475583678e-173,0.0127428624557949,0.0145966755368482
10.94408959375,-0.127591408750002,0.317529325000002,0.509411374999997,-0.805756997500001,"CCND1",4.58388211543201e-05,2.21403913831132e-60,9.27690018301544e-198,0.00062988913416808,0.00153070580358817
10.762546055,-0.168176750000001,0.179610795,-0.0149461225000032,0.121296140000005,"CDH1",4.58388211543201e-05,6.56455818544568e-60,3.85935515688841e-195,0.00160574261026912,0.00153070580358817
6.60311037,-0.00989902050000246,-0.0897806869999966,-0.0552000517500035,0.190878100000003,"CDK2",0.000647319035607676,6.90631968541053e-48,1.24981620759368e-154,0.0348453668763795,0.0310970215873275
8.821476684,-0.00936088900000165,-0.140101988999996,-0.00915271750000102,0.2357656965,"CDK2",0.000135133906160569,2.53765723927895e-55,9.8560885099404e-178,0.00901968978188309,0.00778492676924089
7.878562334625,-0.0576008676250002,0.00715530550000043,-0.19016550525,0.33720801075,"CDKN1B",0.000227136060311489,2.5862420843688e-52,1.61475384300554e-169,0.0163746141036667,0.0133281435011258
8.28291706325,0.204457691750001,0.0416183210000014,-0.013444633999999,-0.46895825675,"CDKN1B",0.000190383263122537,2.33655684804156e-54,2.14758448768634e-176,0.0100415737691099,0.0133281435011258
10.67793152625,-0.297899441249999,0.0649759950000028,0.271522989999999,0.0238263399999976,"CLDN7",4.58388211543201e-05,1.98656326402232e-59,1.16937822031374e-192,0.00160574261026912,0.00153070580358817
5.914308715,0.387920542999999,0.0766141270000009,0.0224830144999988,-0.780485358249999,"CTNNB1",0.00145817260338986,9.63362221821696e-47,4.54187251287147e-153,0.0355094814123048,0.0525198826086089
5.3925922405,-0.00205070799999962,0.0105058872500008,-0.00300204075000021,-0.0253671330000005,"CTNNB1",0.00215878506994197,9.22577934673826e-43,8.45147558726039e-140,0.0545386722720851,0.0563239856823592
8.306684397375,-0.0727625983750002,0.185109324000001,-0.157856691249998,0.189997825500001,"CTNNB1",0.000190383263122537,1.38528103679118e-53,2.35118051456629e-175,0.0119230650912549,0.0100851617291242
8.042350777625,0.0699774283750028,0.241272018499998,-0.287975459749997,0.0786412899999966,"CTNNB1",0.000220264653432623,3.16071511807914e-53,9.7048513824746e-175,0.0127428624557949,0.0133281435011258
5.867058574125,0.046262119375001,-0.00499545324999939,-0.13780380725,0.135708575999999,"CTNNB1",0.00142238254590151,4.39521474286741e-45,6.25371791905627e-147,0.0501063206877819,0.0491555670769648
5.537445620125,-0.0284784661249997,0.00825863375000235,0.0681292400000002,-0.0770564595000014,"CTNNB1",0.00186609814325887,2.63220813070779e-43,1.67061157037484e-141,0.052447926585701,0.0530634369067713
5.526211428875,-0.117750303875,0.216142551750001,-0.118622987,-0.00151034900000102,"CTNNB1",0.00189551773414274,7.66549872539797e-43,4.93268542781985e-143,0.0532310707356339,0.0530634369067713
6.09840898125,0.0596830822500003,-0.174267496749998,0.0581672867500007,0.00331116924999986,"EGFR",0.00118028585345385,3.90481890223637e-46,6.13613454261913e-148,0.0438399225968184,0.0454619671272886
5.3827009295,-0.0660262865000014,-0.015111908499998,0.113738957749998,-0.0670336967500003,"EGFR",0.00215878506994197,2.09709663462741e-42,2.50482500397849e-138,0.0545386722720851,0.0565568656984819
5.431544562875,-0.0130909653749987,-0.0868312804999984,0.11950511475,-0.0458224940000003,"EGFR",0.00203535189600906,6.96668037551097e-43,8.95117892208697e-139,0.0539006382411529,0.0557264831453092
6.98719674275,-0.16013585025,0.0232456240000003,0.157538640750002,0.0237308777499976,"EGFR",0.000496441798646651,8.78339121224127e-49,8.95814306083021e-159,0.0271159467077858,0.0263051353478002
