"OV1002 CarboTax Day1","OV1002 CarboTax Day2","OV1002 CarboTax Day4","OV1002 CarboTax Day7","OV1002 CarboTax Day14","Molecule"
0.0876989849999994,5.874303025,0.132981118,-0.0287774680000004,-0.197442678000001,"AKT1"
-0.261045754,10.24510156,0.393732594000001,0.0250293599999996,-0.312605640000001,"AKT1"
-0.11856006,10.55761077,0.0946687399999995,-0.149139900000002,-0.216511860000001,"AKT1"
-0.28720287,5.944361315,0.270630758,-0.163024926,-0.175053423,"BRCA1"
-0.148858835,6.697130965,0.572746839,0.033499999,0.0191751179999997,"BRCA1"
0.214157715,5.940050551,0.0622014240000004,-0.193716316,0.411550212000001,"BRCA1"
-0.180207606,5.957600241,0.16589808,0.42568506,-0.0737016089999996,"BRCA1"
-1.217720059,8.078123888,-0.118854379,0.749424145000001,0.424854978999999,"CCNB1"
-0.775365321999999,10.47443524,-0.15107435,-0.3095149,0.04408615,"CCND1"
-0.14503335,11.03924157,-0.167434530000001,0.37039701,0.0364056300000009,"CDH1"
-0.509043061,7.42267858,0.183536937,0.826417278,-0.364561752999999,"CDK2"
-0.689487160000001,10.04360466,0.295535535999999,0.381315213000001,-0.322637669999999,"CDK2"
-0.0991634549999993,7.552786478,0.492465714,0.335379229,0.0114556029999999,"CDKN1B"
0.321919566,7.512622578,0.680865287,0.252735459,0.891190731999999,"CDKN1B"
0.160484589999999,9.908984773,0.0145529199999999,-0.0294870300000003,-0.231443173999999,"CLDN7"
0.0777248849999994,5.497036007,-0.0915157139999998,-0.07930628,-0.104139363,"CTNNB1"
-0.069177925,5.402810926,0.093280912,-0.0195847629999992,0.152293587,"CTNNB1"
-0.534567018,7.771451418,-0.353775519,0.233732181,-0.0398240850000002,"CTNNB1"
-0.789168683,7.62827881,-0.124280239,-0.0482100860000001,-0.121227529,"CTNNB1"
0.107285859,5.743776951,0.169198625999999,0.0237838530000003,0.103114517,"CTNNB1"
-0.180494825,5.697133094,-0.0265738070000001,0.484574096,-0.0780530229999998,"CTNNB1"
-0.281990085,5.376771153,-0.0791075149999996,-0.177336601,0.310339028,"CTNNB1"
-0.143644538,5.964796039,-0.0773790090000004,0.223410139,0.23815806,"EGFR"
0.0377156780000005,5.462569638,-0.0155242040000001,-0.0776662440000004,0.335197469,"EGFR"
-0.0437223979999999,5.52393892,0.156844057,0.0307130240000006,-0.0998899639999999,"EGFR"
0.0289193049999996,6.228044466,-0.179651691,0.294646463999999,0.386901607,"EGFR"
-0.0519846839999998,5.68721531,0.125512982999999,-0.278271528,0.117182505,"ERBB2"
0.158892205,5.3177033,-0.00801939800000007,-0.124844469,0.265744355,"ERBB2"
0.156847618999999,9.837283387,-0.363020991000001,0.356905062000001,-0.133938674000001,"ERBB2"
0.387001238000001,6.413088276,-0.253985643,0.252587023999999,-0.292177411,"ERBB3"
0.513006763,9.868364014,-0.093733434999999,0.175652565,-0.231366830000001,"ERBB3"
-0.111947501,5.584654244,-0.0777478,0.213322895,-0.00686177300000068,"ERBB3"
-0.105558140999999,5.781270207,-0.255763165,-0.169617574999999,-0.0739267880000005,"ERCC1"
-0.388142856,6.298202399,-0.100264436,-0.560643229,-0.280101301,"ERCC1"
0.412546846,8.057560264,0.0713096269999998,0.0756579659999996,-0.0565904750000001,"ERCC1"
0.450279846000001,8.126294848,0.0748097919999999,-0.0572380570000011,0.23766752,"ERCC1"
0.372185697999999,9.835558688,-0.154975025000001,-0.0282777440000004,0.407426307,"ESR1"
-0.435229195,6.574027676,-0.103192496,-0.289997658,0.169060439,"HIF1A"
-0.815955331,7.105451491,-0.0586482339999996,-0.0710383020000007,0.277938259,"HIF1A"
-0.275679001,7.386039654,-0.160427431,-0.23713628,0.623927188000001,"HIF1A"
0.589537969999999,8.816722385,-1.141174262,-0.0532846180000011,0.21111797,"IGFBP3"
0.632428018000001,8.011909357,-0.474219046,-0.367670358,-0.00203513700000002,"IGFBP3"
0.057499848,5.709185288,-0.0411609350000006,-0.129404128,0.23424164,"MAPK1"
-0.0649620629999994,6.514427783,-0.173247907,0.162522079,-0.28255945,"MAPK1"
-0.00635568600000003,6.650515886,0.0558817629999995,-0.070774374,0.0162121519999996,"MAPK1"
-0.632475712,7.135238475,-0.273210725,0.406878173,0.133933706000001,"MET"
-0.0318594049999996,7.81160139,0.183002368,0.241265646,-0.218169806,"MLH1"
-0.171478215,6.451681263,0.291370872,-0.164142741,0.223160323,"MSH2"
-0.00648958000000022,5.855360586,-0.166849813000001,-0.487453513999999,0.16574866,"MSH2"
-0.117801830000001,10.11547758,0.0259016669999994,0.0266206689999997,0.407885799000001,"MSH6"
-0.744392994,9.80890334,0.138461873999999,-0.778812698999999,-0.554538551,"MYC"
-0.709889888999999,8.267978108,-0.0853202580000003,-1.088568544,0.635727509000001,"MYC"
-0.553510273000001,8.153796129,0.118029420000001,0.424541885,0.308061534,"NCOA3"
-0.0667264029999997,5.535197574,0.0165198830000008,-0.143204168,0.270529168,"NCOA3"
-0.17652391,5.425178775,0.165619316,-0.352164047,0.117963741,"PGR"
-0.320413907000001,5.654979682,0.109878644,0.00245245499999935,-0.337352596,"PMS2"
0.0495568219999996,7.764107013,-0.199880347000001,-0.135370321,0.22290229,"PMS2"
0.207279985,5.619279554,0.156647304,0.0997472109999995,0.0588008750000002,"PMS2"
-0.0929125109999998,7.542123299,-0.176794984,0.0797468390000002,0.173909502,"PTEN"
-0.278014709999999,13.03727706,-0.01058834,-0.301264359999999,0.0584087699999998,"RPS6"
