"HOX424 Carbo Day1 3","HOX424 Carbo Day2 3","HOX424 Carbo Day7 3","HOX424 Carbo Day14 3","Molecule"
0.561715836055342,0.211731817166481,0.336516686108112,0.474711155462921,"AKT1"
1.49194419039972,1.6339328153567,1.6627443268444,1.67753457593558,"AKT1"
1.73015040667719,1.59274205771464,1.68990544446823,1.63573732263292,"AKT1"
0.649090348547966,0.457500004387688,0.446947097990167,0.523821828516578,"BRCA1"
0.988620063885179,1.22223624480056,0.958454666053602,1.27829372464862,"BRCA1"
0.403821461339247,0.434750955027281,0.486148507571564,0.783473210313276,"BRCA1"
0.752796946665003,1.00760810191758,0.77077710848439,0.917435065655687,"BRCA1"
1.33493234793991,1.35589572366547,1.45465107183201,1.50624658141439,"CCNB1"
1.87408406489053,1.80851310626999,1.8272651357447,1.7983721673303,"CCND1"
1.79644967176483,1.79369610400117,1.81590349335286,1.79436952742093,"CDH1"
0.734301606719833,0.804102448387393,0.589501263626618,1.01673650614624,"CDK2"
1.47533664507978,1.40629890165367,1.59412272536927,1.54614393490028,"CDK2"
1.14503579590416,1.36228148282988,1.32055151117182,1.24654369553677,"CDKN1B"
1.51516616941299,1.44408260826783,1.53640283538486,1.43655713326159,"CDKN1B"
1.82295157224104,1.81443343800388,1.81193340058279,1.83637042457514,"CLDN7"
0.779138495054567,0.943802474940846,0.745344628715072,0.957670995639436,"CTNNB1"
0.180806713244673,-0.0552737602590295,0.130562971694057,0.140098044420913,"CTNNB1"
1.37253780154056,1.37438852629229,1.40879055754882,1.33610925976245,"CTNNB1"
1.2231080938742,1.32724506071148,1.33018200405106,1.27822447103019,"CTNNB1"
0.554795217606763,0.611268187362611,0.223327112262954,0.361226655435873,"CTNNB1"
0.373093057125154,0.206290841516788,0.168591440985408,0.213369368713024,"CTNNB1"
0.564147169952724,0.306428052411706,0.197867359250836,0.188661012166378,"CTNNB1"
0.483989664111825,0.541324426858528,0.406965282418122,0.346431389530611,"EGFR"
-0.0580632468669211,0.0679294764695254,0.102497294264706,0.139541459580716,"EGFR"
0.103328916830131,0.235847467554023,0.222525330901115,0.109744877402299,"EGFR"
0.80898396788895,0.94543924884022,0.990136957485996,0.758438606836936,"EGFR"
-0.0577495224400194,0.27129556644841,0.234558789603689,0.194955760363988,"ERBB2"
0.557958861665324,0.688284597287455,0.710426266593491,0.342386797136534,"ERBB2"
1.95474606272991,1.88217490307171,1.88939446504377,1.94595382523134,"ERBB2"
0.845086364542143,0.855739040760441,0.82125576829442,0.639574891499316,"ERBB3"
1.66434031474663,1.72488859060632,1.74213579787219,1.62261611302586,"ERBB3"
0.374945275563298,0.317072792177354,0.337179088085914,0.122935750337271,"ERBB3"
0.247163336529452,0.213667268285562,0.173047718210388,0.146894209837285,"ERCC1"
0.19696166751156,0.2286854867785,0.130552730238666,0.608118766580653,"ERCC1"
0.939684983141351,1.07061353158542,0.952767867608174,1.01639089015042,"ERCC1"
0.816493600700885,0.882415607588897,0.864193975540676,0.695589704681739,"ERCC1"
0.367601911013114,0.230447904205296,0.221307857790398,0.325196316767631,"ESR1"
0.894162243537063,0.948767601378968,0.943643682738816,0.900352226403364,"HIF1A"
0.963396435087147,1.14679562283735,1.10948524841134,1.03396572127835,"HIF1A"
1.53662898632574,1.48862551720126,1.53691063018147,1.46175098262604,"HIF1A"
1.21284282761993,1.5276516296759,1.40734046126055,1.61849840773543,"IGFBP3"
0.913389243925133,1.4237512956915,1.23767485422704,1.58166436558259,"IGFBP3"
0.455421094656177,0.501515783414841,0.553026260962833,0.126021300560943,"MAPK1"
0.858513305295944,0.56059338876732,0.677659814609718,0.581763194088023,"MAPK1"
0.890523462647308,1.02839496907244,1.09318776977294,0.703117741202412,"MAPK1"
1.30356382175673,1.29061536608053,1.32060344252478,1.21449147286741,"MET"
1.08124359305745,1.22867442041791,1.26716458584516,1.21038697341131,"MLH1"
0.993683813073555,0.740481353536634,0.744995739605461,0.989885773424237,"MSH2"
0.799462210289815,0.736713500062148,0.37762057142536,0.307665705000833,"MSH2"
1.66835876542172,1.49093155296746,1.61276407145026,1.57713097876282,"MSH6"
1.75727102078023,1.65617830053469,1.67802198563207,1.73964409709857,"MYC"
1.63753321299162,1.57665698069378,1.55668560864488,1.56863251253689,"MYC"
1.58575072386279,1.494088342527,1.59201223745652,1.54397492141317,"NCOA3"
0.189692811226493,0.286782869472983,0.229910998979385,0.296868065914435,"NCOA3"
0.154698152836044,0.0654766002278026,0.0311111273796004,0.114856949190622,"PGR"
0.218829134880243,0.328133319023898,0.354111187027349,0.360771633200265,"PMS2"
1.54900028069348,1.60180557278989,1.60188861557956,1.57776510073747,"PMS2"
0.22489470127412,0.00957770934841153,0.100538135602135,0.10990666891791,"PMS2"
1.30442225192417,1.22732586597686,1.43548867924979,1.35915614719788,"PTEN"
1.9492943133376,1.86532007035225,1.88033169784534,1.93444818368957,"RPS6"
1.94179276617285,1.86800311627281,1.87494755252075,1.93045652890341,"RPS6"
0.310292302871322,0.567719594300213,0.32853778147837,0.266577043120036,"SERPINE1"
1.114332165619,1.14420684260529,1.20300942922798,1.22764641857891,"VIM"
0.397457978494751,0.606122969399805,0.587911359069728,0.756436813618387,"VIM"
