"HOX424 CarboTax Day1","HOX424 CarboTax Day2","HOX424 CarboTax Day4","HOX424 CarboTax Day7","HOX424 CarboTax Day14","Molecule"
-0.0562390229999998,-0.0523287269999999,0.208241031,0.143359586,5.823931855,"AKT1"
-0.381386025999999,-0.162050036,0.264773301,-0.0680371530000006,9.001609887,"AKT1"
-0.0412640260000003,-0.177362357,-0.0603402869999989,-0.137288685,9.390651982,"AKT1"
0.219578664,0.204252256,-0.0729341950000002,-0.172431826,6.193734229,"BRCA1"
-0.344680215,0.0744410640000002,-0.18683,0.103204672,6.767711167,"BRCA1"
0.203878639,0.0123392209999995,-0.227213559,0.176173053,6.061428627,"BRCA1"
0.0997567669999997,-0.0541378980000005,-0.102950426,0.00535217100000018,6.376871827,"BRCA1"
-0.254697373000001,-0.370071787000001,0.0936482979999997,0.269666998,7.839927794,"CCNB1"
0.52328938,0.0873831900000006,0.554004390000001,0.36717681,10.85083806,"CCND1"
-0.0735976899999997,-0.329965170000001,-0.26201075,0.0357641199999996,10.97138431,"CDH1"
-0.309758161,-0.121619907,-0.213337,0.0120838469999995,6.542845475,"CDK2"
-0.270012002,-0.0467912530000003,-0.0858898529999994,-0.0602788300000014,8.893693416,"CDK2"
-0.32007908,-0.226786943,-0.173874501999999,-0.0468108880000004,8.030117389,"CDKN1B"
-0.036958331000001,-0.26118995,0.145315769,0.101825749000001,7.815852688,"CDKN1B"
-0.231833440000001,-0.45315884,-0.37605941,0.175819650000001,10.70083934,"CLDN7"
0.147838773,0.245849668,0.726361694,-0.0569838499999999,5.54388086,"CTNNB1"
0.200204949,0.134244396000001,0.344694638,-0.0290438760000002,5.418062799,"CTNNB1"
-0.0729502820000008,0.120734669999999,-0.0368799239999991,0.094537699,8.483621257,"CTNNB1"
-0.0866389250000008,-0.0245025849999987,0.159351113,-0.00999016699999977,8.260601384,"CTNNB1"
0.338606577999999,0.242069532,-0.0170215489999999,-0.266509408999999,5.748865787,"CTNNB1"
0.0204417550000002,0.273370683,0.0726850309999998,0.153955377,5.509030271,"CTNNB1"
0.0339596909999997,-0.123798982,0.30266817,-0.00665583899999955,5.496301504,"CTNNB1"
-0.250727362,0.0103245510000001,-0.506822561,-0.0907044189999997,5.701401641,"EGFR"
0.118355802,0.176900086,0.115637303000001,0.045295458,5.501526725,"EGFR"
0.0737598110000004,0.183627930999999,-0.153960458,0.217377618,5.264970757,"EGFR"
0.230760784,0.320264636,-0.059665785,0.134953235,7.11560356,"EGFR"
0.0992047889999998,0.302940671,0.0349359710000003,-0.042835942,5.829790083,"ERBB2"
0.285902635,-0.146478891999999,-0.211695584,-0.29953061,6.55564809,"ERBB2"
-0.182161239999999,0.0211289899999993,0.000615010000000638,0.157548369999999,13.84950706,"ERBB2"
-0.104293062,-0.286753431,-0.282609435,-0.155038058000001,6.818822876,"ERBB3"
-0.0621152550000001,-0.380325141,-0.331469218000001,-0.137394758999999,9.95841289,"ERBB3"
-0.0541790859999995,-0.353371564000001,0.225846166,-0.156739212000001,5.999677845,"ERBB3"
-0.160806357,0.222347169,0.0476993740000005,0.0352627300000004,5.595609474,"ERCC1"
0.0790255369999997,-0.0719125700000003,0.325650334000001,-0.194160623,5.498157879,"ERCC1"
-0.203909452,-0.300132902000001,-0.0124974050000004,-0.0430557129999993,6.955794969,"ERCC1"
-0.229680203,-0.239107611,0.0524019630000003,0.184993170999999,6.831462435,"ERCC1"
0.20803743,-0.268552553,0.296516307,-0.00797117800000002,5.444944152,"ESR1"
-0.0635124540000005,-0.0301691399999999,0.12527062,0.131988962,6.621864467,"HIF1A"
-0.295550673,0.125629589,0.442244678,-0.00107645000000023,7.031422843,"HIF1A"
0.0566254959999988,0.407530006,0.714147035,-0.0621755729999993,7.642065921,"HIF1A"
0.269782055999999,0.126841077000001,-1.166767101,0.339829329000001,9.003034147,"IGFBP3"
0.214895973,-0.144704336,-0.788662866999999,0.633202547000001,8.261203443,"IGFBP3"
-0.10112481,0.0634056530000002,0.170308322,-0.0949748609999999,5.964209222,"MAPK1"
0.00980852699999968,-0.360791695000001,-0.0592465850000004,0.0326502150000003,6.70242717,"MAPK1"
-0.257231827,-0.038063062,0.216278495,0.125882207,7.01254992,"MAPK1"
0.359474775,0.131393130999999,0.173959926,-0.0945211459999999,7.582603137,"MET"
-0.276903471,0.0287379319999994,-0.188417525,0.213850281,7.79378103,"MLH1"
0.289757931,-0.117003524999999,0.398662283,0.0859869699999996,6.425963168,"MSH2"
0.297857272,-0.173038421,0.313350101,-0.0919915419999997,5.832162675,"MSH2"
0.138935433999999,0.091277796,-0.0408228189999988,0.239283567000001,8.860180509,"MSH6"
-0.634203624000001,-0.250541304,-0.552784280000001,0.249597027,10.01375809,"MYC"
-0.319824195999999,0.136008005999999,-0.00541063100000017,0.17022059,8.430747342,"MYC"
0.036746591,0.205540711000001,0.0442321149999998,0.235520533999999,8.826486156,"NCOA3"
0.0289527410000003,0.207511704,0.2851458,0.0201180049999996,5.701874341,"NCOA3"
0.205984738,0.072213047,-0.0988764729999998,-0.0113693140000004,5.39794896,"PGR"
-0.152961547,0.0125542159999998,-0.136923016,-0.101387652000001,5.527265394,"PMS2"
-0.305940031,-0.345779808,-0.528033043000001,-0.183790771,8.740386364,"PMS2"
0.312309482,0.0781468529999998,0.0190480319999997,-0.197527778,5.546483031,"PMS2"
-0.16668458,-0.204452545999999,0.0174511200000005,0.270706197000001,7.996582173,"PTEN"
-0.147699019999999,-0.0437594500000014,-0.13317531,0.0628493900000002,13.13086974,"RPS6"
