"HOX424 CarboTax Day1 1","HOX424 CarboTax Day2 1","HOX424 CarboTax Day4 1","HOX424 CarboTax Day7 1","HOX424 CarboTax Day14 1","Molecule"
-0.0988182350000004,0.0470039849999999,-0.202063429,0.0370722740000007,-0.0876976019999995,"AKT1"
0.0644683060000002,0.471121173,-0.346425107,-0.239463815999999,0.184821285,"AKT1"
0.170816533,0.376217047999999,-0.150490274000001,-0.347600497,-0.331022846,"AKT1"
0.27227625,-0.411383910000001,0.018402955,0.254142809999999,0.0188987849999993,"BRCA1"
-0.0408050969999998,0.173055689,-0.0926411680000001,-0.443557865000001,0.339914293000001,"BRCA1"
-0.116048193,-0.319437614,0.616329638,0.0314396180000003,-0.169862257,"BRCA1"
-0.249254837,0.0835724710000001,0.311107304,-0.248673612,0.332218917,"BRCA1"
-0.119436092999999,0.236265896000001,-0.0587601479999993,-0.243540646,-0.0444848910000006,"CCNB1"
-0.6909119,-0.44549993,-0.226045360000001,1.09798427,-0.0526766799999994,"CCND1"
0.0146665299999995,0.0902687900000014,0.0345995200000004,0.19096512,-0.2734855,"CDH1"
0.0472695530000005,0.491348643,0.0211767849999998,-0.336024695000001,0.164890758,"CDK2"
0.0918640350000004,0.356833024,-0.145251753,-0.227547620999999,0.054232957,"CDK2"
0.310356295,0.307823424,0.367579715999999,-0.413955125999999,-0.0793142030000009,"CDKN1B"
-0.0612363570000003,0.0770683999999999,0.270873309000001,0.209788548999999,0.435509733,"CDKN1B"
0.144538279999999,0.43009915,-0.0846056900000001,0.0165342100000014,-0.0763250099999997,"CLDN7"
-0.14227382,-0.225707168,-0.00357636099999947,0.447173526999999,0.133283509,"CTNNB1"
-0.144085887,-0.201515099,-0.317992847,0.107708769,0.017418384,"CTNNB1"
-0.324676199,-0.0815860359999991,-0.192416919000001,0.219811486,-0.175307724,"CTNNB1"
-0.267312707,-0.086302646,-0.0211506309999994,0.644809756000001,-0.315678769999999,"CTNNB1"
-0.073425275,-0.302193935,-0.0473388029999997,0.137534286999999,0.240562739,"CTNNB1"
-0.183594671000001,-0.0159297599999997,-0.160451579999999,0.030160435,0.00737603500000006,"CTNNB1"
0.0581865380000002,0.041858596,-0.306641118,-0.0813516190000003,-0.149351958,"CTNNB1"
0.194808489,0.255496601,0.585182874,-0.0754392060000004,0.362055749,"EGFR"
0.0382371909999994,0.0226559340000003,0.0110214919999994,-0.172978742,-0.174703753999999,"EGFR"
-0.1669458,-0.181893155,0.112301529,-0.115212246,0.169058258,"EGFR"
-0.0753508270000003,-0.367910031,-0.0581848620000001,0.0934909209999999,-0.166091502,"EGFR"
-0.0780337210000006,-0.17774401,0.18931303,0.121901346,-0.11649718,"ERBB2"
-0.0775187979999998,0.373474529999999,-0.157303236,0.0738633169999998,-0.326278901,"ERBB2"
-0.0757708799999985,-0.12954457,-0.00746965999999993,-0.0445018900000012,-0.0170063500000008,"ERBB2"
0.338018598000001,0.369777919000001,0.0372615239999998,-0.169715123,-0.148409092,"ERBB3"
0.181247738,0.182541330999999,0.265578251999999,0.269221087,-0.272759378,"ERBB3"
0.343610639,0.263392684,-0.168863679,-0.231499317,-0.282640235,"ERBB3"
0.0218688560000002,0.0170213700000001,0.0127582159999999,-0.210000292,0.00570720300000005,"ERCC1"
0.0536050299999999,0.121609299,0.0984391379999998,-0.0699369719999998,0.176437245,"ERCC1"
0.177246045,0.344735188,0.132432004,-0.456116804,0.0730413629999997,"ERCC1"
-0.100322307,0.436612259,-0.139618376,-0.205662851,0.00956764300000046,"ERCC1"
0.121426872,-0.227050695,-0.15097116,-0.118116571,0.0803734729999999,"ESR1"
-0.0159312109999998,-0.0320855279999996,0.0623634069999994,0.0134900340000002,-0.309410643,"HIF1A"
0.0490933409999998,0.0540705940000006,-0.0909468140000005,-0.00948185099999943,-0.0355790339999995,"HIF1A"
0.0316140380000007,-0.393089562,0.0264696950000012,0.203979405,-0.0984314420000008,"HIF1A"
0.0952496459999992,-0.447288271000001,0.302466397,0.294025009,-0.42500083,"IGFBP3"
-0.130836128,-0.534908299,-0.0142780810000005,0.107606477,-0.027057512999999,"IGFBP3"
0.0210766189999996,0.052235563,-0.201879975,-0.0780040929999997,0.190429057,"MAPK1"
-0.144707545,0.303198807,-0.163762769,0.0788468199999999,0.0845807670000003,"MAPK1"
0.0533158559999993,0.192664331,-0.0605171599999998,-0.173966183999999,0.119206703000001,"MAPK1"
-0.143971704999999,-0.510847087999999,0.100974029,0.256299196,0.103833965,"MET"
-0.236707355,0.0665585350000004,-0.139359652,0.280950111999999,-0.24343523,"MLH1"
0.0643532410000001,-0.254370086,-0.09397038,-0.338628892999999,-0.216246602,"MSH2"
-0.0921716720000001,0.0730114019999997,0.385052265,-0.169920627,-0.0379356849999999,"MSH2"
-0.274553423,-0.256560009999999,0.454358943999999,0.142865727,0.0370688910000005,"MSH6"
-0.111953341,0.578412501000001,0.255332735000001,-0.284984102999999,-0.225291167,"MYC"
-0.339303994,0.216399202,0.0658151769999993,-3.90249999995262e-05,0.165623643,"MYC"
0.0684520240000008,-0.233963458,0.113222347999999,0.116161457999999,-0.000499439000000379,"NCOA3"
0.047193869,-0.158162847,-0.288013259,-0.268340542,0.167304618,"NCOA3"
0.124265690000001,-0.102604575,-0.0390299660000002,-0.167626592,0.0443128030000004,"PGR"
-0.136811145999999,0.0977703790000009,0.236710357,0.0553971600000001,0.240587538000001,"PMS2"
0.00952667600000012,0.675836013,0.208801307,-0.113034528,0.043773375999999,"PMS2"
