"OV1002 Carbo Day1 3","OV1002 Carbo Day2 3","OV1002 Carbo Day4 3","OV1002 Carbo Day7 3","OV1002 Carbo Day14 3","Molecule"
0.00823859848178499,-0.0345049098613415,0.0233737392795796,0.00912760287041614,-0.104656156677671,"AKT1"
-0.055969319286143,0.0717034069603524,-0.0283279180615637,-0.0508960572197608,-0.0224327952493208,"AKT1"
-0.10849957606194,0.131067715220137,-0.0577388627510556,-0.0224327952493208,0.0801716580003764,"AKT1"
-0.0426974222700411,0.0335286172493525,-0.0233737392795796,-0.0400803958295115,-0.0920436666806737,"BRCA1"
-0.0175890864117183,-0.0323801824718668,-0.0175890864117183,0,0.0175890864117183,"BRCA1"
-0.0382692014891304,-0.0298671779429003,-0.0783494651773555,0.0437198067783515,0.0766697043976468,"BRCA1"
0.0233737392795796,-0.0335286172493525,-0.0329498976192952,-0.014641438667522,0,"BRCA1"
0,-0.0706377423523619,0,0,0,"CCNB1"
0.111118379175069,-0.0860667808126192,0.143895560066393,0,-0.224067218066769,"CCND1"
-0.143895560066393,0.252395136128333,-0.166328355315714,0,0.111118379175069,"CDH1"
0.0502671151905858,0.0315393504658679,-0.0725102476846109,0.0869651062549348,0,"CDK2"
-0.0268881547416164,-0.0162519537425387,-0.0225681391581971,-0.142036100098762,0,"CDK2"
-0.0194759715506221,0.0157584674149307,-0.119460870816844,-0.0530342761339888,-0.0351209652041238,"CDKN1B"
-0.0530342761339888,-0.0512235292866268,0.0725102476846109,-0.143838485710921,-0.0928314540960704,"CDKN1B"
0,0.0334011801279459,0,0.0283279180615637,0.197246076239407,"CLDN7"
-0.0185541205721167,-0.038488400496913,0.0421174031016598,0.0312325595894065,0.0227692040756211,"CTNNB1"
-0.00844764846099189,0.0092655870503946,-0.0328518160512652,0.0503560015834448,0,"CTNNB1"
0.019005892099194,0,-0.019005892099194,0.0317475577360047,0.034994982420268,"CTNNB1"
0.0719324300299018,0.0725102476846109,-0.0502671151905858,0.087713313080839,0,"CTNNB1"
0.108865178450799,-0.0439082999681513,-0.0307477785751828,-0.0529651299860863,-0.0184602201247448,"CTNNB1"
-0.0332233819534715,0.104656156677671,-0.0461022937478304,0.0461192222128175,0,"CTNNB1"
-0.0143516545655262,0.0164989798367894,0.0601641792700582,-0.0239577949030769,-0.0386434786815428,"CTNNB1"
-0.0147952426529696,0,-0.0289781485542484,-0.0153739622830269,0.0289781485542484,"EGFR"
0.0185541205721167,-0.0317399039931248,-0.04295828816239,-0.025764566887184,0.0317399039931248,"EGFR"
-0.0371702181624367,0.091904083263183,-0.0416710304144634,0,-0.0185541205721167,"EGFR"
0,-0.0141829059012788,0.0147952426529696,0.0335286172493525,-0.0436195872217704,"EGFR"
-0.0160483712259993,0.0400802636882251,0.0184565386353421,-0.0218104696318138,0.0560226849799896,"ERBB2"
0.0177132355113865,-0.0244041675902733,0.0514059366233819,-0.0328518160512652,0.0112183841692652,"ERBB2"
-0.0548282747465145,0.0162519537425387,-0.0161884136457511,-0.0259425230304275,0.0268881547416164,"ERBB2"
0,-0.0329498976192952,0.047132803520574,-0.047132803520574,-0.0621138122245894,"ERBB3"
-0.0161884136457511,-0.0223879073582247,0.0324403673882898,0,0.0324403673882898,"ERBB3"
-0.0634540029678048,0,0.0154944393892915,0.0502934815748364,0.0369167587600869,"ERBB3"
-0.0509144169948668,-0.0216201757047667,0,0.0716974558578221,-0.0563153794931552,"ERCC1"
0.0281420657044529,0.0175890864117183,0.0288129484650299,0.0147952426529696,-0.0382692014891304,"ERCC1"
0,0.0473933709650645,0,0.0484862770403991,-0.0258842443301495,"ERCC1"
-0.0706377423523619,0.018397520376261,0.0442817647064104,-0.0226020327102496,0.0668837974166601,"ERCC1"
-0.0290956237023954,0.109866421479337,-0.0290956237023954,-0.0676719447063712,0.0664764734226799,"ESR1"
-0.0150229961427626,-0.0441869107480568,0.0605222481763197,0,-0.0323801824718668,"HIF1A"
0,0,0.0719060556810187,0,0,"HIF1A"
-0.0187277647247179,-0.122199545220488,0.108476447749572,0,-0.015989090321074,"HIF1A"
0.0552099761406453,-0.166328355315714,0.151875064960729,0.131067715220137,-0.0548282747465145,"IGFBP3"
0.156330424453024,-0.274335316827421,0.0955720971250753,0.0709767208060716,-0.0657908913413254,"IGFBP3"
0.0747755996179,0.00745881506628754,-0.0227692040756211,-0.0942237397832772,0.0158742746059217,"MAPK1"
0.0323801824718668,0.0913197142686308,-0.0429331617646014,0,0.0153739622830269,"MAPK1"
-0.0279101656218388,0,-0.0419320180267202,0,0.0147910960601485,"MAPK1"
-0.0152030653962281,-0.0315393504658679,0.0869651062549348,0.0416079248094436,-0.0869651062549348,"MET"
-0.0733554825454483,-0.0156449936535017,0.034994982420268,0,0.0668685229401285,"MLH1"
0.0147952426529696,0.0147910960601485,0.0131190695616903,0,0.0621138122245894,"MSH2"
-0.0184602201247448,0.0313687139952132,0.0400803958295115,0.00933261725432866,0.0529106401566524,"MSH2"
-0.0421944767729663,0,-0.0162519537425387,-0.0324403673882898,0,"MSH6"
0.0839238984489099,0.0223879073582247,-0.114171977904888,-0.0490768741296188,-0.0125938303873543,"MYC"
0.128234757482879,0.0706377423523619,-0.101878779836928,-0.0834812594606671,0.0263559776459514,"MYC"
0,-0.0657908913413254,0,0,0.021037393319113,"NCOA3"
-0.0184565386353421,-0.108987814966076,0.0747755996179,0.0158742746059217,0.074585305690853,"NCOA3"
0.169882358442627,0.0131857834210081,0.00823859848178499,-0.04295828816239,-0.0503560015834448,"PGR"
