"OV1002 Control Day1","OV1002 Control Day7","OV1002 Control Day14","Molecule"
0.270861518999999,-0.0724484619999997,-0.362584801,"AKT1"
-0.43530754,0.24513898,-0.267832503000001,"AKT1"
-0.351132459999999,0.237500579999999,-0.0491979600000008,"AKT1"
0.0887974479999993,0.117832988,-0.0255086340000004,"BRCA1"
0.209511118,-0.216346189999999,-0.319514175,"BRCA1"
0.116550354,0.136446943999999,-0.415254706,"BRCA1"
-0.118337739999999,-0.0998794600000004,0.0234501389999995,"BRCA1"
0.0434660020000006,-0.0139067510000004,-0.211980930999999,"CCNB1"
-0.185731729999999,0.581055090000001,-0.33775612,"CCND1"
-0.0349747999999988,0.0540720199999996,0.20623977,"CDH1"
-0.021405305,0.182008412,0.300731744,"CDK2"
-0.294991165000001,0.0938566220000006,0.00220454799999992,"CDK2"
0.0559335810000006,-0.0280295229999998,-0.252635800999999,"CDKN1B"
0.0559436300000007,-0.635371129,-0.188494693,"CDKN1B"
0.0880369499999993,0.1687473,-0.12864976,"CLDN7"
0.149931221,-0.175595231,0.138319874,"CTNNB1"
-0.0175882980000006,0.256198829000001,0.0849580970000003,"CTNNB1"
-0.0805547849999995,0.088547535,0.339332847,"CTNNB1"
-0.0344688690000003,0.328827883000001,0.43213246,"CTNNB1"
0.146249795,0.0635792689999999,0.0529310569999994,"CTNNB1"
0.124568137,0.0964693350000001,0.224481809,"CTNNB1"
-0.0259116150000001,0.0759515109999995,-0.00402013099999987,"CTNNB1"
-0.126265569,0.0645330460000002,-0.235460422,"EGFR"
0.146133746999999,0.00776861000000029,-0.162007571999999,"EGFR"
-0.0531583420000006,0.0111943999999999,-0.123207166,"EGFR"
0.187936504000001,-0.0453701460000007,-0.148842941,"EGFR"
0.0848061599999994,-0.272898075000001,0.139871101,"ERBB2"
-0.282501053,-0.0878681170000002,0.157015197,"ERBB2"
-0.191843387,0.103667588,-0.110339556,"ERBB2"
-0.186659694,0.115444804,-0.124085659,"ERBB3"
-0.153536314999998,0.151393279999999,-0.130313439,"ERBB3"
0.466742499,0.047035954,0.114903685,"ERBB3"
-0.144424336,0.187461600000001,0.0662874760000003,"ERCC1"
-0.371825739999999,-0.156193722,0.203253172,"ERCC1"
-0.117656394000001,0.0840682729999997,-0.0424813990000015,"ERCC1"
-0.183780951000001,0.160081610000001,0.264787407,"ERCC1"
0.109804051999999,-0.401389235,0.268002625999999,"ESR1"
-0.154235371,-0.386214609,-0.0695139679999999,"HIF1A"
0.33951948,-0.075669424,-0.0799900789999999,"HIF1A"
0.519439583,-0.364483026,-0.584731324,"HIF1A"
1.066343205,0.198269237,-0.948185022000001,"IGFBP3"
1.453327868,0.372510947,-0.973036771,"IGFBP3"
0.111295997,0.0277212860000002,0.00395810699999988,"MAPK1"
0.152351883000001,-0.0512477040000006,-0.0667685210000002,"MAPK1"
0.15271597,0.0297086950000001,0.0106094390000004,"MAPK1"
-0.270221702,-0.0254946409999999,-0.43224227,"MET"
-0.016614219,-0.22779954,-0.0280790929999997,"MLH1"
0.164803383,-0.371784848,0.0766948379999999,"MSH2"
-0.0612085630000001,-0.145091495999999,0.0559520390000001,"MSH2"
0.0186208610000005,-0.414600118999999,0.0641188040000014,"MSH6"
-0.118739956000001,-0.00984460899999995,0.306068527999999,"MYC"
-0.0974323329999995,-0.874531330000001,0.179694269,"MYC"
-0.0839260250000002,-0.106652359,-0.136573803999999,"NCOA3"
0.0609044699999997,-0.108896047999999,0.0323653720000001,"NCOA3"
-0.0140527869999998,0.230284324,0.0620577180000002,"PGR"
0.201860791000001,-0.0504246180000001,0.139994633000001,"PMS2"
0.243565224,-0.171375250000001,0.522226273999999,"PMS2"
0.235558438,-0.18195767,0.0457861670000002,"PMS2"
0.155284618,-0.279563129,-0.309956222,"PTEN"
-0.107918789999999,-0.17118894,0.0209182899999991,"RPS6"
0.18847296,-0.21605379,0.11013706,"RPS6"
-0.0456063850000001,-0.336344163,-0.0156087989999998,"SERPINE1"
0.917260761,0.45324933,0.0189531600000006,"VIM"
0.720551923999999,0.304396345999999,-0.255187705999999,"VIM"
