"HOX424 Carbo Day1 1","HOX424 Carbo Day2 1","HOX424 Carbo Day4 1","HOX424 Carbo Day7 1","HOX424 Carbo Day14 1","Molecule"
-0.0415817997405381,0.154986896233076,-0.102097481649348,-0.109556296715635,-0.0229939611076215,"AKT1"
-0.0324403673882898,0,-0.0268881547416164,0.0334011801279459,0.0440885660644552,"AKT1"
0.0268881547416164,0,-0.0225681391581971,-0.0334011801279459,-0.0125938303873543,"AKT1"
0.100043443677226,0.0295369008770727,0.0298671779429003,-0.0382692014891304,-0.061774242188096,"BRCA1"
0,-0.0351209652041238,0.0351209652041238,0.0555697706113789,0.0561739626149711,"BRCA1"
-0.102641289293372,-0.0818887887109008,-0.0426974222700411,0.0439082999681513,0.0242918241160166,"BRCA1"
0.0147910960601485,-0.0403667052151508,0.169689952085961,0.110635011452865,0.116655675951972,"BRCA1"
0,0.0490768741296188,0.192235540861714,0.0932397750626115,0.0657908913413254,"CCNB1"
0,0,0,0,0,"CCND1"
0,0,0,0,0,"CDH1"
-0.0621138122245894,0.0896861627816139,0,0.0896861627816139,0.0147952426529696,"CDK2"
-0.0290956237023954,0.0223879073582247,0.0290956237023954,0.0839238984489099,0.0290956237023954,"CDK2"
0.034994982420268,0,0.015989090321074,0.015989090321074,0.0226020327102496,"CDKN1B"
0.133000772578529,-0.121597798509352,-0.0290956237023954,-0.147953776155303,-0.0324403673882898,"CDKN1B"
0,0,0,0,0,"CLDN7"
-0.0150229961427626,0,-0.133182981710489,0.0147952426529696,0.0605222481763197,"CTNNB1"
-0.0112183841692652,-0.0586163829384492,-0.0177132355113865,-0.0244041675902733,0.0112183841692652,"CTNNB1"
0,0.14396338917334,-0.0473933709650645,0.125565868797079,0.0263559776459514,"CTNNB1"
0.0226020327102496,0,0,0.114867765470944,0.0442817647064104,"CTNNB1"
0.0483237165782424,0.058803762177702,-0.0114069578181555,0.0445475804759914,0,"CTNNB1"
-0.0239577949030769,0,-0.0082603813550044,0.0559925860290926,-0.0092655870503946,"CTNNB1"
0.0739083781024883,0.0660751980047367,0.0586163829384492,0.0739083781024883,-0.0438375271156701,"CTNNB1"
0,0.0716755708242895,0.0347806970977351,0.0382692014891304,0,"EGFR"
-0.0185541205721167,0.0514059366233819,-0.0244041675902733,0.0514059366233819,0,"EGFR"
0.0185541205721167,-0.0371702181624367,-0.0404981466398011,0.0112183841692652,0,"EGFR"
0.0152030653962281,-0.0758770014007415,0.0315393504658679,-0.0152030653962281,-0.033930830120946,"EGFR"
0.0307477785751828,-0.0461192222128175,-0.00933261725432866,0.0626012735846198,-0.0889369602563792,"ERBB2"
-0.0335286172493525,0,0.0623415657143824,0.0137899523222673,-0.0147952426529696,"ERBB2"
0,0,0,0,0,"ERBB2"
0.0153739622830269,-0.0291639146052942,0,-0.074312200498587,0.0137899523222673,"ERBB3"
0.0508960572197608,-0.0283279180615637,0,-0.0283279180615637,-0.0283279180615637,"ERBB3"
0.0563153794931552,0.0354199776055752,0.0277891558896708,-0.0345049098613415,-0.0415817997405381,"ERBB3"
-0.00824345289001727,-0.0461022937478304,0.0092655870503946,-0.0082603813550044,-0.0543578206946025,"ERCC1"
0.0559925860290926,-0.108987814966076,0.0672410691492549,-0.0386434786815428,-0.0302280191419086,"ERCC1"
0.0651357594193076,0.101452610555744,0,-0.129362776177583,-0.0975159418911744,"ERCC1"
0.0403667052151508,-0.0175890864117183,-0.0827248458310259,-0.0975159418911744,-0.101452610555744,"ERCC1"
-0.0227692040756211,0.108987814966076,0.00763082171590446,0.0304000257915256,0.0488565644268677,"ESR1"
-0.13144677201212,0.033930830120946,0.0454992520335571,0.0758770014007415,-0.0131190695616903,"HIF1A"
-0.0156449936535017,0.036697991064349,-0.0719060556810187,0,0,"HIF1A"
0.0992098911511272,-0.0490768741296188,-0.100560405190239,0.021037393319113,-0.0290956237023954,"HIF1A"
-0.243240532956663,-0.015989090321074,-0.0834812594606671,-0.237328017337636,-0.149272150801993,"IGFBP3"
-0.336567744213234,-0.0869651062549348,-0.119460870816844,-0.165030618216923,-0.0561739626149711,"IGFBP3"
0,-0.0783494651773555,0.0147952426529696,-0.0716755708242895,0.0216201757047667,"MAPK1"
0.120856615145704,0.0137899523222673,0.0153739622830269,-0.0720970763698956,-0.0441869107480568,"MAPK1"
0.0175890864117183,0.0163362850696398,0,0,0.0434968189288747,"MAPK1"
-0.015989090321074,0,0.0226020327102496,0.019005892099194,0.034994982420268,"MET"
0.0317475577360047,0.015989090321074,0.0507534498351987,0.0157584674149307,0,"MLH1"
-0.0216389404904329,-0.0419320180267202,0.0651357594193076,0.0429331617646014,0.0403667052151508,"MSH2"
-0.0585150494313211,0.0102132178866112,0.0568803281713199,0.101234356734895,0.0920436666806737,"MSH2"
-0.0142943243542621,-0.0162519537425387,0,0.0116481986761654,0.0268881547416164,"MSH6"
0,0.0283279180615637,0.0225681391581971,0.0283279180615637,0.0283279180615637,"MYC"
0,-0.0142943243542621,0.0547883071603206,0.0933646281642964,0.0755956569009122,"MYC"
0.0917840705466633,-0.0116481986761654,-0.0116481986761654,-0.0279001524187041,-0.0593437031583735,"NCOA3"
0.00823859848178499,-0.00707688987919664,-0.0158742746059217,-0.141826374840108,0.0461192222128175,"NCOA3"
0.0112183841692652,-0.0514059366233819,0,-0.0185541205721167,-0.0112183841692652,"PGR"
0.0313687139952132,0.00707688987919664,0.00727476468632959,-0.00707688987919664,0.0286733058700697,"PMS2"
0.109866421479337,0.0421944767729663,-0.0162519537425387,-0.0161884136457511,-0.0421944767729663,"PMS2"
