"HOX424 Carbo Day1 1","HOX424 Carbo Day2 1","HOX424 Carbo Day4 1","HOX424 Carbo Day7 1","HOX424 Carbo Day14 1","Molecule"
2.48744393523453,2.58226665219755,2.4801691705482,2.47271035548191,2.46444997412691,"AKT1"
3.18579038000884,3.25676710081491,3.22987894607329,3.2775744505555,3.22987894607329,"AKT1"
3.25676710081491,3.2775744505555,3.2775744505555,3.24417327042755,3.24417327042755,"AKT1"
2.6589363565952,2.61180355307462,2.55889291291797,2.55889291291797,2.5971621144071,"BRCA1"
2.8640253939867,2.88507839139755,2.92019935660167,2.84768910891706,2.92019935660167,"BRCA1"
2.49452082511373,2.55889291291797,2.56910613080458,2.58226665219755,2.51881264922974,"BRCA1"
2.73103343296509,2.79211933830568,2.90072338505105,2.81375827879612,2.84768910891706,"BRCA1"
3.01943908347727,3.13430684894822,3.18579038000884,3.06419258149948,3.0852299748186,"CCNB1"
3.44141934666696,3.44141934666696,3.44141934666696,3.44141934666696,3.44141934666696,"CCND1"
3.40864216577564,3.40864216577564,3.40864216577564,3.40864216577564,3.40864216577564,"CDH1"
2.6259864589759,2.74862251937681,2.5971621144071,2.74862251937681,2.64078170162887,"CDK2"
3.13430684894822,3.18579038000884,3.16340247265061,3.21823074739713,3.16340247265061,"CDK2"
2.97095280643687,2.99355483914712,2.95194691433768,2.95194691433768,2.99355483914712,"CDKN1B"
3.21823074739713,3.06419258149948,3.13430684894822,3.03783660385353,3.18579038000884,"CDKN1B"
3.38620937052632,3.38620937052632,3.38620937052632,3.38620937052632,3.38620937052632,"CLDN7"
2.68810027120049,2.6259864589759,2.6589363565952,2.64078170162887,2.74862251937681,"CTNNB1"
2.42727975596447,2.41409397254346,2.43849814013374,2.41409397254346,2.43849814013374,"CTNNB1"
3.03783660385353,3.16340247265061,3.03783660385353,3.16340247265061,3.06419258149948,"CTNNB1"
2.99355483914712,3.03783660385353,3.06419258149948,3.13430684894822,3.03783660385353,"CTNNB1"
2.55889291291797,2.5971621144071,2.54748595509981,2.54748595509981,2.55889291291797,"CTNNB1"
2.45621137564512,2.45621137564512,2.46444997412691,2.50293837462382,2.44694578859473,"CTNNB1"
2.5383583522294,2.4801691705482,2.47271035548191,2.5383583522294,2.49452082511373,"CTNNB1"
2.61180355307462,2.64078170162887,2.58226665219755,2.5971621144071,2.61180355307462,"EGFR"
2.39553985197135,2.44694578859473,2.41409397254346,2.44694578859473,2.39553985197135,"EGFR"
2.41409397254346,2.42727975596447,2.44694578859473,2.43849814013374,2.41409397254346,"EGFR"
2.84768910891706,2.71624233690494,2.8640253939867,2.83248604352084,2.81375827879612,"EGFR"
2.56910613080458,2.46444997412691,2.52902573497507,2.51881264922974,2.4801691705482,"ERBB2"
2.64078170162887,2.70312326734325,2.70312326734325,2.68810027120049,2.6259864589759,"ERBB2"
3.73170874351933,3.73170874351933,3.73170874351933,3.73170874351933,3.73170874351933,"ERBB2"
2.67431031887822,2.6589363565952,2.68810027120049,2.67431031887822,2.68810027120049,"ERBB3"
3.32847050777526,3.3001425897137,3.32847050777526,3.3001425897137,3.3001425897137,"ERBB3"
2.52902573497507,2.5383583522294,2.5383583522294,2.49452082511373,2.48744393523453,"ERBB3"
2.51056919633973,2.47271035548191,2.45621137564512,2.46444997412691,2.45621137564512,"ERCC1"
2.50293837462382,2.43849814013374,2.49452082511373,2.4801691705482,2.47271035548191,"ERCC1"
2.81375827879612,2.83248604352084,2.71624233690494,2.70312326734325,2.71624233690494,"ERCC1"
2.83248604352084,2.73103343296509,2.73103343296509,2.71624233690494,2.73103343296509,"ERCC1"
2.4801691705482,2.54748595509981,2.51056919633973,2.51056919633973,2.52902573497507,"ESR1"
2.71624233690494,2.84768910891706,2.74862251937681,2.79211933830568,2.70312326734325,"HIF1A"
2.88507839139755,2.90072338505105,2.79211933830568,2.88507839139755,2.88507839139755,"HIF1A"
3.16340247265061,3.0852299748186,3.0852299748186,3.0852299748186,3.13430684894822,"HIF1A"
3.0852299748186,2.9359578240166,2.9359578240166,3.01943908347727,2.9359578240166,"IGFBP3"
2.92019935660167,2.81375827879612,2.83248604352084,2.92019935660167,2.8640253939867,"IGFBP3"
2.54748595509981,2.51881264922974,2.64078170162887,2.56910613080458,2.56910613080458,"MAPK1"
2.70312326734325,2.68810027120049,2.67431031887822,2.6589363565952,2.6589363565952,"MAPK1"
2.74862251937681,2.8640253939867,2.84768910891706,2.8640253939867,2.79211933830568,"MAPK1"
2.9359578240166,2.97095280643687,2.99355483914712,2.97095280643687,2.97095280643687,"MET"
2.95194691433768,2.95194691433768,2.97095280643687,2.9359578240166,2.95194691433768,"MLH1"
2.79211933830568,2.67431031887822,2.81375827879612,2.73103343296509,2.83248604352084,"MSH2"
2.58226665219755,2.56910613080458,2.6259864589759,2.61180355307462,2.67431031887822,"MSH2"
3.22987894607329,3.20197879365459,3.24417327042755,3.22987894607329,3.25676710081491,"MSH6"
3.3001425897137,3.32847050777526,3.3001425897137,3.32847050777526,3.32847050777526,"MYC"
3.20197879365459,3.22987894607329,3.25676710081491,3.25676710081491,3.2775744505555,"MYC"
3.2775744505555,3.21823074739713,3.21823074739713,3.20197879365459,3.21823074739713,"NCOA3"
2.46444997412691,2.48744393523453,2.50293837462382,2.42727975596447,2.51056919633973,"NCOA3"
2.43849814013374,2.39553985197135,2.39553985197135,2.39553985197135,2.42727975596447,"PGR"
2.51881264922974,2.49452082511373,2.48744393523453,2.48744393523453,2.54748595509981,"PMS2"
